@@,area,Family,Species,iNatTaxon,HJ_comment,FPNW_note,First_record_year,First_record_observer,First_Record_Institution_ID,First_Record_Collection_No,First_Record_Location,critical_comments,reviewed,review_status,annotation_status
->,saanich,Poaceae,Achnatherum nelsonii ssp. nelsonii,Eriocoma nelsonii nelsonii,"Listed in Henry's Flora as occurring at Cedar Hill, Victoria; specimen not examined. CDC Explorer all collections east of Cascades except V. C. Brink coll coastal flats, Parksville, 1955.",,->1875-05-07,->J.M. Macoun,->CMN,->CAN10091202,->Cedar Hill,"->Note: No reference found in Henry's Flora for this species occurring at Cedar Hill. J.M. Macoun deserves credit in 1875 and Henry's Flora was published in 1915. CMN = Canadian Museum of Nature, Ottawa, Ontario. TL  ","HR, TL",complete,remaining
->,saanich,Poaceae,Agropyron cristatum,Agropyron cristatum,Foster Central Saanich 1939. Persisting?,,->1939-0617,->W. Foster,->RBCM,->V020367,->Saanichton,"See Illustrated Flora of B.C. note ""The three Agropyron species occurring in BC 
hybridize readily when growing together, forming morphologically 
intermediate plants. In addition, some cultivars are also intermediate, 
being derived from hybrids. Consequently, identification of Agropyron 
species in North America is often extremely difficult. In many 
instances, it may be best to refer to plants of this genus as A. 
cristatum sens. lat., the last phrase indicating no distinction is being
 made between the three species.""",TL->Critical comment by ? GBIF Occurrence record includes subtaxon: A. cristatum subsp. pectinatum TL,in progress,remaining
,saanich,Poaceae,Agrostis canina,Agrostis canina,Cultivated especially for putting greens; occasional in Victoria and Oak Bay. Oregon nearest on FNA. CDC Explorer single Lomer collection Douglas island in Fraser off New Westminister.,,,,,,,,,remaining,remaining
->,saanich,Poaceae,Agrostis capillaris,Agrostis capillaris,Cultivated for lawns and pastures; escaped and established.,,->1917-06-20,->W. Newcombe,->RBCM,->V038833,->Dallas Road; MacDonald's Field,->TL,"HR, AS",complete,remaining
->,saanich,Poaceae,Agrostis exarata,Agrostis exarata,"Moist, open ground; sporadic throughout; frequent in the Sidney area.",,->1893-06-09,->J.M. Macoun,->CMN,->CAN10091119,->Esquimalt,->Note: Agrostis inflata Scribn. synonym = Agrostis exarata. (Holotype) TL,"HR, AS",complete,remaining
->,saanich,Poaceae,Agrostis gigantea,Agrostis gigantea,"Native of Eurasia; commonly cultivated for meadow, pasture, and lawns; an escapee from cultivation in many areas; represented by var. palustris (Huds.) Pers., var. stolonifera (L.) J. E. Smith and var. alba; varieties of A. alba are one of best lawn grass.",,->1892-07-07,->J. Fletcher,->RBCM,->V048277,->Central Saanich: Central Experimental Farm.,->TL,"HR, AS",complete,remaining
->,saanich,Poaceae,Agrostis idahoensis,Agrostis idahoensis,"Listed in the Provincial Museum Report for 1921 as occurring in Victoria, where it was collected by Macoun; not very readily distinguishable from A. scabra. No new records CDC Explorer.",,->1921,->J.M. Macoun,->PMAR,->p. M 16,->Victoria,->Note: PMAR = Provincial Museum Annual Report,->TL,remaining,remaining
->,saanich,Poaceae,Agrostis microphylla,Agrostis microphylla,"Many Victoria colls Lomer, Ceska, Douglas.",,->1893-08-07,->J. Rousseau,->CMN,->CAN 10091120,->Beacon Hill,"->Note: CMN = Canadian Museum of Nature ","HR, AS",complete,remaining
->,saanich,Poaceae,Agrostis oregonensis,Agrostis oregonensis,AC Turner's Bog 1976.,,->1940-08-16,->I. McTaggart-Cowan,->RBCM,->V026118,->Goldstream Lake: N of Victoria,,->TL,remaining,remaining
->,saanich,Poaceae,Agrostis pallens,Agrostis pallens,Mesic to moist sand dunes and rocky seacliffs in the lowland zone. Rare on south Vancouver Island. HLR Mill Hill report in BEN344.,,->1966-06-22,->A.S. Harrison,->RBCM,->V066164,->Victoria; Mount Douglas: summit of mountain. TL,->TL,"HR, AS",complete,remaining
->,saanich,Poaceae,Agrostis scabra,Agrostis scabra,"Moist, open grassland; sporadic throughout.",,->1896-08-04,->J.R. Anderson,->RBCM,->V048268,->Broadmead; Cedar Hill,->TL,"HR, AS",complete,remaining
->,saanich,Poaceae,Aira caryophyllea->,Aira caryophyllea,Open ground and coastal plains; common throughout; frequent weed in rock gardens.,,->1883-07,->T. Meehan,->CM,->CM232880,->Victoria,"->Note: CM = Carnegie Museum of Natural History; Pittsburgh, Pennsylvania TL",,remaining,remaining
->,saanich,Poaceae,Aira elegans,Aira elegans," Henderson Point HLR. Observation only, no specimen00",,->??,,,,,specimen00???,"TL->Note: GBIF indicates: Aira caryophyllea var. capillaris (Host) Vis. = Aira elegans Willd. ex Roem. & Schult.  TL      
        


        
          
        
        
    ",remaining,remaining
->,saanich,Poaceae,Aira praecox,Aira praecox,Sandy open ground and dry fields; common throughout and well established.,,->1912-05-01,->J. Davidson,->RBCM,->V048289,->Victoria,->TL,,remaining,remaining
->,saanich,Poaceae,Alopecurus aequalis->Area,Alopecurus aequalis,"In shallow waters and wet places; locally abundant; Royal Oak, Elk Lake, and Sidney.",,->1896-06-20,->J.R. Anderson,->RBCM,->V024467,->Victoria; Oak Bay,typo Roval Oak to Royal Oak?,TL,remaining,remaining
->,saanich,Poaceae,Alopecurus carolinianus,Alopecurus carolinianus,"Waste areas; rare; known from the Uplands where it was collected by M. C. Melburn in 1961, 1965, and 1967; to our knowledge this species was collected for the first time in Oak Bay by Macoun in 1887. Collections: Christmas Hill Douglas, Penny, Donovan. Trial Island Donovan, Ceska. Several Oak Bay Ceskas, Donovan, Hartwell.",,->1961-05-22,->M.C. Melburn,->RBCM,->V102075,"->Victoria; Oak Bay, Uplands Park",Collections mispelled. Was: (Collecdtions)->TL,TL,remaining,remaining
->,saanich,Poaceae,Alopecurus geniculatus,Alopecurus geniculatus,"Native of Eurasia; shallow water and wet places; occasional in Saanich, Victoria, Oak Bay and at Island View Beach.",,->1893-06-10,->J.M. Macoun,->NY,->1637968,->Vicinity of Victoria,->Note: NY =  New York Botanical Garden Herbarium. TL,,remaining,remaining
->,saanich,Poaceae,Alopecurus myosuroides,Alopecurus myosuroides,Native of Europe; rare; known only from the Saanichton Experimental Farm. JWE 1939. On Lomer & Penny's non-established list.,,->1939-06-01,->W.R. Foster,->RBCM,->V013526,->Saanichton,->Note: Collected from Saanichton in 1939 (Foster s.n. @ UBC) with a note on the specimen: “I believe to be cultivated at experimental plots Dominion Research Station” - Eastham. TL,,remaining,remaining
->,saanich,Poaceae,Alopecurus pratensis,Alopecurus pratensis,"Introduced, now established in Victoria, Oak Bay, Deep Cove and Royal Oak.",,->1914-04-22,->J.M. Macoun,->RBCM,->V000434,->Victoria; Oak Bay,Deep cove changed to Deep Cove->TL Deep cove changed to Deep Cove.,TL,remaining,remaining
->,saanich,Poaceae,Alopecurus saccatus,Alopecurus saccatus,Wet meadows; restricted to the Sidney area. (?) No herbarium records found.,,->??,,,,,->DELETE. No occurrences found. See distribution map in FNA. Synonym A. howellii. TL,,remaining,remaining
->,saanich,Poaceae,Ammophila arenaria,Ammophila arenaria,Sidney area and Sidney Island. Check for breviligulata and hybrids at V.,,->1939-07-01,->W. Newton,->UBC,->V017896,->Sidney spit,"Collected V.I., Saanich Peninsula, Cordova Spit by Aiken in 1982.",TL,remaining,remaining
->,saanich,Poaceae,Anthoxanthum aristatum ssp. aristatum,Anthoxanthum aristatum aristatum,Gordon Head HLR,,->1965-05-18,->B.W. Davies,->OSC,->OSC163493,->Gordon Head,->Note: OSC = Oregon State University Vascular Plant Collection TL,,remaining,remaining
->,saanich,Poaceae,Anthoxanthum odoratum,Anthoxanthum odoratum,Native of Eurasia; meadows and open places; common throughout.,,->1904-05-14,->J.R. Anderson,->RBCM,->V048294,->Victoria: Cedar Hill,->TL,,remaining,remaining
->,saanich,Poaceae,Arrhenatherum elatius,Arrhenatherum elatius,"Native of Europe; escapee from cultivation; Victoria, John Dean Park, and Thetis Lake Park",,->1908-06-06,->J.M. Macoun,->CM,->CM233639,->Vicinity of Victoria,"->Note: CM = Carnegie Museum of Natural History; Pittsburgh, Pennsylvania TL",,remaining,remaining
->,saanich,Poaceae,Avena fatua,Avena fatua,Fields and waste places. Most collections at V from Saanichton.,,->1913-06-26,->J.M. Macoun,->RBCM,->V000431,->Sidney,->TL,,remaining,remaining
->,saanich,Poaceae,Avena sativa,Avena sativa,Occasional escapee from cultivation.,,->2007-10-15,->K. Marr,->RBCM,->V198076,->Sidney: 100-500 km S of Anacortes Ferry Terminal.,->TL,,remaining,remaining
->,saanich,Poaceae,Beckmannia syzigachne,Beckmannia syzigachne,Interior. No vouchers for peninsula found at V or CDC Explorer. Several Lomer collections Fraser Valley.,,,,,,,"->DELETE. No occurrences found in Saanich Peninsula. TL ",,remaining,remaining
->,saanich,Poaceae,Briza maxima,Briza maxima,Englestoff Discovery Island 2004. FL roadside Cadboro Bay 2009.,,->2004-04-05,->C. Englestoff,->UBC,->V225025,"->Victoria, Discovery Island",->TL,,remaining,remaining
->,saanich,Poaceae,Bromus commutatus,Bromus commutatus,Occasional waste places.,,->1912-06-16,->J.M. Macoun,->RBCM,->V000443,->Sidney,->TL,,remaining,remaining
->,saanich,Poaceae,Bromus diandrus,Bromus diandrus,"Common weed in open and waste places; Uplands, Esquimalt, John Dean, and Thetis Lake Parks. Ssp. rigidus in CDC Explorer.",,->1913-06-03,->J.M. Macoun,->RBCM,->V000447,->Sidney: The Orchard,->TL,,remaining,remaining
->,saanich,Poaceae,Bromus erectus,Bromus erectus,Name gone from H&C2018 . Vouchers? FofNA range map includes Wash and Oregon but not BC,,,,,,,"->DELETE. ""It is established in the eastern United States and Canada, and has been
reported from other locations where it has not persisted."" FofNA TL",,remaining,remaining
->,saanich,Poaceae,Bromus hordeaceus,Bromus hordeaceus,"A weed in waste, open places.",,->1896-05-24,->J.R. Anderson,->RBCM,->V000478,->Skirt Mountain,->TL,,remaining,remaining
->,saanich,Poaceae,Bromus inermis,Bromus inermis,A&O Ceska Beaver Lake. Turner & Chapman Central Saanich roadside.,,->1966-07-20,->B. Turner,->BABY,->BABY-00694,"->Central Saanich Road, Sandhill Creek drainage",->Note: BABY = B.A. Bennett Herbarium (BABY) Yukon Government TL,,remaining,remaining
->,saanich,Poaceae,Bromus japonicus,Bromus japonicus,Two Melburn collections for peninsula. (several Lomer collections Vancouver.),,,,,,,->DELETE. No occurrence records on Vancouver Island or southern Gulf Islands.,,remaining,remaining
->,saanich,Poaceae,Bromus latiglumis,Bromus latiglumis,FofNA shows dist across western canada and US midwest. Name missing from H&C2018. Not in CDC Explorer. Melburn Cadboro Bay voucher not found.,not in FPNW2,,,,,,->DELETE? Single occurrence report by M.C. Melburn for 1955 in Cadboro Bay. Annual Report for 1955 and 1956 consulted. No mention. RBCM Herbarium database gives no voucher specimen(s). TL,,remaining,remaining
->,saanich,Poaceae,Bromus pacificus,Bromus pacificus,Moist forest; rare; known from the Goldstream area. A&O Ceska Chatham Islands.,,->1981-05-22,->A.&O. Ceska,->RBCM,->V179217,->Alpha Islet; Chatham Islands: part of Chatham Islands off Victoria,->TL,,remaining,remaining
->,saanich,Poaceae,Bromus secalinus,Bromus secalinus,An occasional weed in grain fields. Macoun 1913 Beacon Hill Park.,,->1913-07-22,->J.M. Macoun,->RBCM,->V000446,->Beacon Hill Park,->TL,,remaining,remaining
->,saanich,Poaceae,Bromus sitchensis,Bromus sitchensis,"Wooded areas and grassy banks; occasional; Uplands, West Saanich, Mount Tolmie, and Sidney. Several vars present see B. sitchensis var. alleutensis and var. marginatus",,->1935-06-21,->C. French,->RBCM,->V009591,->Victoria,->TL,,remaining,remaining
->,saanich,Poaceae,Bromus sitchensis var. aleutensis,Bromus sitchensis aleutensis,"FNA:Bromus sitchensis resembles B. aleutensis, the two sometimes being treated as conspecific varieties. Bromus sitchensis is predominantly outcrossing, while B. aleutensis is predominantly self-fertilizing. No varieties currently recognized FNA",,->1913-06-17,->J.M. Macoun,->RBCM,->V000458,->Victoria; Oak Bay,->TL,,remaining,remaining
->,saanich,Poaceae,Bromus sitchensis var. carinatus,Bromus carinatus,Open ground and waste places; most common in the vicinity of Mount Douglas and along the Patricia Bay Highway.LEP reports of var. marginatus for peninsula.,,->1896-05-31,->J.R. Anderson,->UBC,->V018121,->Victoria; View Royal: Parson's Bridge,->TL,,remaining,remaining
->,saanich,Poaceae,Bromus sterilis,Bromus sterilis,"Fields, roadside and waste places throughout.",,->1913-05-15,->J.M. Macoun,->RBCM,->V000449A,->Saanichton,->TL,,remaining,remaining
->,saanich,Poaceae,Bromus tectorum,Bromus tectorum,"Along roadsides, banks, and waste places; occasional; Uplands, Saanich, and Saanichton.",,->1913-05-15,->J.M. Macoun,->RBCM,->V000449B,->Saanichton,->TL,,remaining,remaining
->,saanich,Poaceae,Bromus vulgaris,Bromus vulgaris,Rocky places and shady ravines; occasional throughout.,,->1912-07-12,->J.M. Macoun,->RBCM,->V000452,->Vicinity of Sidney,->TL,,remaining,remaining
->,saanich,Poaceae,Calamagrostis canadensis,Calamagrostis canadensis,"Open, wet places; occasional in Royal Oak and Saanichton.",,->1933-06-28,->V. Goddard,->RBCM,->V023604,->Royal Oak,->Note: This occurrence is C. canadensis var. langsdorfii. TL,,remaining,remaining
->,saanich,Poaceae,Calamagrostis nutkaensis,Calamagrostis nutkaensis,"Rare; known only from Victoria, where it was collected by J. G. French in 1920. AFS additional collection Victoria. ( check at V )",,->1913-06-15,->C.F. Newcombe,->UBC,->V018353,->Triangle Island,->Check location TL,,remaining,remaining
->,saanich,Poaceae,Calamagrostis stricta ssp. inexpansa,Calamagrostis inexpansa,AC Trial Island 1976. See C. canadensis,,->1976-07-20,->A.&O. Ceska,->RBCM,->V155864,->Trial Islands: off Victoria,->TL,,remaining,remaining
->,saanich,Poaceae,Cinna latifolia,Cinna latifolia,Wet areas; rare; sporadic in Sidney and Goldstream,,->1900-08-18,->J.R. Anderson,->UBC,->V018599,->Mill Street,"->Note: J.R. Anderson lived with his wife in a small house in Victoria, so I am assuming he understood there was a Mill Street in Victoria. This may still be questionable. TL",,remaining,remaining
->,saanich,Poaceae,Cortaderia selloana,Cortaderia selloana,"Marr Veteran's Memorial Parkway, Langford 2008. Established?",,->2008-11-10,->K. Marr,->RBCM,->V204329,"->Langford: Veteran's Memorial Parkway, between Sooke Road and Latoria Road",->TL,,remaining,remaining
->,saanich,Poaceae,Cynodon dactylon,Cynodon dactylon,"Known only from the Outer Wharf, where it was collected by J. Fletcher in 1898 and Braefoot, Saanich, by G. A. Hardy in 1943.",,->1898-07-24,->J.R. Anderson,->UBC,->V018609,"->Victoria, Outer Wharf",->Note: See digital photo of specimen label where the collector is J.R. Anderson not Fletcher. TL,,remaining,remaining
->,saanich,Poaceae,Cynosurus cristatus,Cynosurus cristatus,"Fields, roadsides and waste places; common throughout.",,->1913-07-14,->J.M. Macoun,->CM,->CM235216,->Vicinity of Sidney,"->Note: CM = Carnegie Museum of Natural History; Pittsburgh, Pennsylvania TL",,remaining,remaining
->,saanich,Poaceae,Cynosurus echinatus,Cynosurus echinatus,"Common in open ground; Uplands, Saanich, Mount Douglas, and Thetis Lake Parks.",,->1938-06-02,->J.W. Eastham,->UBC,->V018623,"->Oak Bay, Victoria",->TL,,remaining,remaining
->,saanich,Poaceae,Dactylis glomerata,Dactylis glomerata,Native of Eurasia; very common on a variety of habitats throughout; a very tolerant species and often weedy.,,->1894-08-20,->J.R. Anderson,->RBCM,->V000503,->Victoria,->TL,,remaining,remaining
->,saanich,Poaceae,Danthonia californica,Danthonia californica,"Meadows and open woods; the typical phase and var. americana (Scribn.) A. S. Hitchc. are sporadic in the Uplands and Mount Douglas Park. (D. americana Scribn., D. macounii A. S. Hitchc.)",,->1912-06-07,->J.R. Anderson,->RBCM,->V030858,->Pike Lake Hill,->TL,,remaining,remaining
->,saanich,Poaceae,Danthonia intermedia,Danthonia intermedia,No voucher found at V for Henery's report. HLR Mt McDonald 1996.,,->1996-06-20,->H. Roemer,->RBCM,->V168181,"->Mount McDonald: W of access road, below SW peak",->TL,,remaining,remaining
->,saanich,Poaceae,Danthonia spicata,Danthonia spicata,Sterile and rocky places; rare; known from the Uplands where it was collected by M. C. Melburn in 1957. Melburn voucher not located. AC collection Mt Jeffery on Malahat 1999.,,->1999-07-03,->A.&O. Ceska,->BBM (UBC),->V217493,->Mount Jeffrey,->TL,,remaining,remaining
->,saanich,Poaceae,Danthonia unispicata,Danthonia unispicata,"MCM Thetis Lake 1975. HLR Mt McDonald, Langford 1996.",,->1975-06-12,->M.C. Melburn,->RBCM,->V102102,->Thetis Lake Park,->TL,,remaining,remaining
->,saanich,Poaceae,Deschampsia cespitosa ssp. beringensis,Deschampsia cespitosa beringensis,Bogs and wet places; rare; collected at Oak Bay by J.M. Macoun in 1913 and Saanichton by W. R. Foster in 1939. Reported Trial Island Ecological Reserve proposal. Several iNaturalist reports for area.,not in FPNW2,,,-> of Shawnigan,,,,,remaining,remaining
->,saanich,Poaceae,Deschampsia danthonioides,Deschampsia danthonioides,"Open ground; sporadic in Victoria, Royal Oak, and Sidney.",,->1896-06-21,->J.R. Anderson,->UBC,->V018759,->Oak Bay,->TL,,remaining,remaining
->,saanich,Poaceae,Deschampsia elongata,Deschampsia elongata,"Open ground; occasional; Royal Oak, Saanichton, and the East Saanich Indian Reserve.",,->1913-07,->J.K. Henry,->UBC,->V018861,->Oak Bay,->TL,,remaining,remaining
->,saanich,Poaceae,Dichanthelium acuminatum,Dichanthelium acuminatum,"MCM Saanich collection at V. location? AC Gowland Todd Park 1977. Ryan Mt Finlayson 1993. HLR Mt McDonald, just outside area 1993.",,->1977-06-04,->A.&O. Ceska,->RBCM,->V155990,->Joceylon Hill,Gowlland Tod may be mis-spelled throughout. Search and Replace? (TL),,remaining,remaining
->,saanich,Poaceae,Dichanthelium oligosanthes ssp. scribnerianum,Dichanthelium scribnerianum,A&O Ceska Sidney Island 1981.,,->1961-06-22,->J.A. Calder,->UBC,->V224998,->Old Baldy Mountain on east side of Shawnigan Lake,->TL,,remaining,remaining
->,saanich,Poaceae,Digitaria ischaemum,Digitaria ischaemum,"Native of Eurasia; cultivated fields, rare; collected in Saanichton by F. A. Szczawinski in 1965. Voucher not found at V.",,->1965,->F.A. Szczawinski,->FSP,->p. 34,->Saanichton,->FSP = Flora of the Saanich Peninsula A.F. Szczawinski and A.S. Harrison 1972 TL,,remaining,remaining
->,saanich,Poaceae,Digitaria sanguinalis,Digitaria sanguinalis,Weed of cultivated fields and lawns; sporadic; Victoria and Saanichton,,->1943-09-05,->G.A. Hardy,->UBC,->V075796,"->Saanich, Braefoot",->TL,,remaining,remaining
->,saanich,Poaceae,Distichlis spicata,Distichlis spicata,"Locally common; Saanichton Spit, Island View Beach, and Sidney.",,->1897-07-01,->J.R. Anderson,->UBC,->V041962,->Sidney,->TL,,remaining,remaining
->,saanich,Poaceae,Echinochloa crus-galli,Echinochloa crus-galli,Ditches and cultivated fields; sporadic throughout.,,->1914-09-24,->J.R. Anderson,->RBCM,->V000646,->Victoria,->TL,,remaining,remaining
->,saanich,Poaceae,Ehrharta erecta,Ehrharta erecta,"Mt Work iNaturalist observation 2020, Arbutus Rd iNaturalist observation 2019. FL Surrey as greenhouse weed 1997. Several iNaturalist observations for lower mainland. No herbarium records. Included in birdseed mixes. On Lomer & Penny's non-established list.",not in FPNW2,,,,"-> ",,->Note: No iNaturalist occurrences available. Consider deletion. TL,,remaining,remaining
->,saanich,Poaceae,Elymus glaucus,Elymus glaucus,"Open woods and dry hillsides; locally abundant; East Saanich Indian Reserve, John Dean Park, Thetis Lake Park, Esquimalt Lagoon, and occasional throughout the area of study in suitable habitat.",,->1908-06-12,->J.M. Macoun,->MNHN,->P02636357,"->Vicinity of Victoria, Esquimalt","->Note: MNHN = Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris, France) TL",,remaining,remaining
->,saanich,Poaceae,Elymus hirsutus,Elymus hirsutus,Deep Cove Macoun 1914. Lands End Road Harrison 1967.,,->1914-06-19,->J.M. Macoun,->RBCM,->V000529,->Deep Cove,->TL,,remaining,remaining
->,saanich,Poaceae,Elymus repens,Elymus repens,Native of Europe; fields and waste places; common throughout; a noxious and persistent weed.,,->1935-06-24,->A.M. Eastham,->CPNWH,->2493792,->Saanichton,->Note: CPNWH = Consortium of Pacific Northwest Herbaria TL,,remaining,remaining
->,saanich,Poaceae,Elymus trachycaulus ssp. trachycaulus,Elymus trachycaulus trachycaulus,Moist places and open woods; occasional; known from Beacon Hill and Oak Bay; a variable species with a number of infraspecific taxa described.,,->1914-06-14,->M.O. Malte,->CMN,->CAN 10091110,->Victoria,"->Note: CMN = Canadian Museum of Nature, Ottawa. HOLOTYPE TL",,remaining,remaining
->,saanich,Poaceae,Festuca occidentalis,Festuca occidentalis,"Dry, rocky places; seldom abundant; Sidney and Thetis Lake Park.",,->1893-06-08,->J.M. Macoun,->CMN,->CAN 38154,->Victoria Arm,"->Note: CMN = Canadian Museum of Nature, Ottawa. TL ",,remaining,remaining
->,saanich,Poaceae,Festuca roemeri,Festuca roemeri,"LEP Buck Hill, Mt Finlayson, Observatory Hill, Bear Hill.",,->1977-05-20,->A.&O. Ceska,->RBCM,->V187795,->Farm SE of Scarfe Hill,->TL,,remaining,remaining
->,saanich,Poaceae,Festuca rubra,Festuca rubra,Common in open grassland throughout; occasionally used in grass mixture for pastures; includes a number of infraspecific taxa regarded by the authors in the broad sense as F. rubra; recognized var. littoralis Vasey is most common in the area of study.,,->1885-05,->Fletcher,->CMN,->CAN 37998,->Near Victoria,"->Note: CMN = Canadian Museum of Nature, Ottawa. TL ",,remaining,remaining
->,saanich,Poaceae,Festuca subulata,Festuca subulata,"Harrison Horth Hill 1967, Pavlick Goldstream 1988",,->1914-06-17,->M.O. Malte,->CMN,->CAN 215017,->Sidney. Gulf Islands National Park Reserve,"->Note: CMN = Canadian Museum of Nature, Ottawa. TL",,remaining,remaining
->,saanich,Poaceae,Festuca subuliflora,Festuca subuliflora,Macoun Goldstream 1887. Several other collections at V and CAN,,->1887-06-29,->J.M. Macoun,->CMN,->CAN 10091144,->Goldstream,"->Note: CMN = Canadian Museum of Nature, Ottawa. N.B.: LECTOTYPE. TL",,remaining,remaining
->,saanich,Poaceae,Festuca trachyphylla,Festuca trachyphylla,"Macoun Esquimalt 1897. FL trail in open mixed woods, Oak Bay 2009",,->1887-05-23,->J.M. Macoun,->CMN,->CAN 38240,->Esquimalt,"->Note: CMN = Caanadian Museum of Nature, Ottawa TL",,remaining,remaining
->,saanich,Poaceae,Festuca valesiaca,Festuca valesiaca,"includes F. minutiflora, F. filiformis, F. brachyphylla, F. saximontana, F. valesiaca, F. trachyphylla. All penensula vouchers re-identified as others LEP",,,,,,,"->DELETE. FNA gives distribution as Ariz., Kans., Mont., Vt., Wyo. ""The taxonomy of the Festuca valesiaca complex is controversial, with different authors naming morphological variants and polyploid populations within it. No attempt has been made to determine which are present in the Flora region.""  (Flora of North America) TL",,remaining,remaining
->,saanich,Poaceae,Glyceria borealis,Glyceria borealis,Wet places and shallow water; rare; shores of Beaver and Thetis Lakes. A&O Ceska Prospect Lake and Florence lake.,,->1914-06-16,->J.M. Macoun,->RBCM,->V000597,->Beaver Lake,->TL,,remaining,remaining
->,saanich,Poaceae,Glyceria declinata,Glyceria declinata,AC Rithet's Bog 1972 locality of Riccia cavernosa.,,->1972-06-20,->A. Ceska,->RBCM,->V155037,->Victoria; Royal Oak: Rithet's Swamp (Bog),->TL,,remaining,remaining
->,saanich,Poaceae,Glyceria elata,Glyceria elata,"Rare; known from Goldstream, where it was collected by M. C. Melburn in 1961. Harrison Durrance Lake 1967, Copley Saanich: Conservatory 1920, A&O Ceska Thetis Lake Park 1977.",,->1919-07-14,->J. Davidson,->UBC,->V019528,"->Victoria, near Millstream District",->TL,,remaining,remaining
->,saanich,Poaceae,Glyceria fluitans,Glyceria fluitans,FL Beacon Hill Park Mown grassy water edge of lawn by pond footbridge 2005.,,->1961-06,->J.A. Calder,->OSC,->OSC 116141,->Between Royal Oak Ave. and Quadra St. on outskirts of Victoria,->OSC = ? TL,,remaining,remaining
->,saanich,Poaceae,Glyceria grandis,Glyceria grandis,Marshes and wet places; sporadic around Swan Lake; collected by G. A. Hardy in 1945 and 1946.,,"->1945, 1946",->G.A. Hardy,->FSP,->p. 36,->Swan Lake?,->FSP = Flora of the Saanich Peninsula A.F. Szczawinski and A.S. Harrison 1972 TL,,remaining,remaining
->,saanich,Poaceae,Glyceria leptostachya,Glyceria leptostachya,"Check locations. Possibly Saanich RNVPBC. GD Partridge Hills, AC Partridge Hills 1971. Both in Pease Creek drainage.",,->1971-08-19,->A. Ceska,->RBCM,->V155038,"->Victoria, Pease Lake",->TL,,remaining,remaining
->,saanich,Poaceae,Glyceria maxima,Glyceria maxima,Hardy Swan Lake 1945-46. townsend Swan Lake 2008.,,->1945-06-17,->G.A. Hardy,->RBCM,->V019399X,->Saanich; Swan Lake,->TL,,remaining,remaining
->,saanich,Poaceae,Glyceria occidentalis,Glyceria × occidentalis,cross of G. fluitans and G. leptostachya. A&O Ceska Discovery Island 1976. A&O Ceska Rithet's bog 1973. A&O Ceska Metchosin 1977. A&O Ceska Durrance Lake 1976.,,->1965-06-10,->M.C. Melburn,->RBCM,->V102107,->Thetis Lake Park,->TL,,remaining,remaining
->,saanich,Poaceae,Glyceria septentrionalis,Glyceria septentrionalis,FNA no western records.,not in FPNW2,,,,,,->Delete. Not found in the Pacific Northwest. TL,,remaining,remaining
->,saanich,Poaceae,Glyceria striata,Glyceria striata,Rare; West Saanich and Goldstream. Copley 1920 saanich Conservatory. Harrison1967 Durrance Lake. A&O Ceska 1977 Thetis Lake.,,->1988-06-30,->S.J. Derbyshire,->CMN,->CAN 535036,"->Finlayson Arm, east side of; just outside park boundary","->Note: CMN = Canadian Museum of Nature, Ottawa. TL",,remaining,remaining
->,saanich,Poaceae,Hesperostipa comata,Hesperostipa comata,No coast records found.,,,,,,,->DELETE. No records found. TL,,remaining,remaining
->,saanich,Poaceae,Holcus lanatus,Holcus lanatus,Open ground and meadows; common throughout.,,->1887-05-31,->J.M. Macoun,->CMN,->CAN 32669,->Goldstream,"->Note: CMN = Canadian Museum of Nature, Ottawa. TL",,remaining,remaining
->,saanich,Poaceae,Holcus mollis,Holcus mollis,"Hollis Rd, Saanich - no details. O'Brian Playfair Park 2012.",,->1997-09-01,->C. Knighton,->RBCM,->V169132,->Royal British Columbia Musuem; Native Plant Garden,->TL,,remaining,remaining
->,saanich,Poaceae,Hordeum brachyantherum,Hordeum brachyantherum,"Wet meadows and salt marshes; occasional; Victoria, Oak Bay, Uplands, Saanich, Esquimalt, and Goldstream.",,->1894-08-20,->J.R. Anderson,->RBCM,->V000621,->Victoria,->TL,,remaining,remaining
,saanich,Poaceae,Hordeum jubatum ssp. jubatum,Hordeum jubatum jubatum,Disturbed areas; common throughout in suitable habitat.,,,,,,,,,remaining,remaining
->,saanich,Poaceae,Hordeum marinum,Hordeum marinum,"Waste land; sporadic; Victoria, Oak Bay, and the Uplands; weedy species occurring mostly on waste, dry sites.",,->1895-08-19,->J.R. Anderson,->RBCM,->V000617,->Victoria,->TL,,remaining,remaining
->,saanich,Poaceae,Hordeum murinum ssp. leporinum,Hordeum murinum leporinum,Native of Europe; fields and waste places around Victoria; weedy species spreading quite rapidly in some areas.,,->1968-07-12,->B. Crawford,->RBCM,->V141114,"->Victoria, Government House",->TL,,remaining,remaining
->,saanich,Poaceae,Hordeum murinum ssp. murinum,Hordeum murinum murinum,Native of Europe; weed of waste ground; occasionally in Victoria and John Dean Park; closely resembling H. leporinum.,,->2000-06-17,->J.D. Fenneman,->BBM/UBC,->V243833,"->Victoria, Swan Lake",->TL,,remaining,remaining
