"","scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","hybrid","subspecies","variety","form","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences"
"96","Festuca bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V236835",NA,"149AF9E7-0EEE-5E47-970B-F575FF6F619B","Jeffery M. Saarela","501",NA,"2006-05-27",2006,5,27,"PRESERVED_SPECIMEN","West Vancouver, Marine Drive, 100 m east of Gleneagles Drive",NA,NA,"British Columbia","Canada","CA",49.3575,-123.278717,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Jeffery M. Saarela",NA,NA,NA,NA,NA
"97","Festuca bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","CMN","CAN","CAN 591413",NA,"80c53875-3e47-e474-4698-aea198aedd74","Saarela, Jeffery M.","501",NA,"2006-05-27",2006,5,27,"PRESERVED_SPECIMEN","West Vancouver, Marine Drive, 100 m east of Gleneagles Drive.",NA,NA,"British Columbia (Prov.)","Canada","CA",49.358,-123.279,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Saarela, Jeffery M. - Canadian Museum of Nature",NA,NA,NA,NA,NA
"98","Festuca myuros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","","","06-JMS-0508",NA,"MF597656","Jeffery M. Saarela","",NA,"2006-05-27",2006,5,27,"PRESERVED_SPECIMEN","British Columbia, Horseshoe Bay, Whytecliff Park. Among rocky cliffs with Anthoxanthum odoratum and Dactylis glomerata.",NA,NA,"","Canada","CA",49.380001,-123.290001,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Jeffery M. Saarela",NA,NA,NA,NA,NA
"99","Festuca myuros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V228356",NA,"5961DB6B-1AF1-0B4D-8480-0EA5C9FFF76B","Jeffery M. Saarela","508",NA,"2006-05-27",2006,5,27,"PRESERVED_SPECIMEN","Horseshoe Bay, Whytecliff Park",NA,NA,"British Columbia","Canada","CA",49.37725,-123.29015,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Jeffery M. Saarela",NA,NA,NA,NA,NA
"100","Festuca myuros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","CMN","CAN","CAN 591414",NA,"5a259581-833a-33a4-3b9b-02f4a688740b","Saarela, Jeffery M.","505",NA,"2006-05-27",2006,5,27,"PRESERVED_SPECIMEN","Horseshoe Bay, Whytecliff Park.",NA,NA,"British Columbia (Prov.)","Canada","CA",49.377,-123.29,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Saarela, Jeffery M. - Canadian Museum of Nature",NA,NA,NA,NA,NA
"101","Festuca myuros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","CMN","CAN","CAN 590325",NA,"926e1802-ac42-c424-f48f-ba660ad72c66","Saarela, Jeffery M.","508",NA,"2006-05-27",2006,5,27,"PRESERVED_SPECIMEN","Horseshoe Bay, Whytecliff Park.",NA,NA,"British Columbia (Prov.)","Canada","CA",49.377,-123.29,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Saarela, Jeffery M. - Canadian Museum of Nature",NA,NA,NA,NA,NA
"102","Festuca ovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"purpusiana","VARIETY","ca.ubc","UBCVascular","V56002",NA,"1AD440E2-28F4-0948-8766-C94E83BB08F2","Vernon C. Brink","56-8-184",NA,"1956-08-09",1956,8,9,"PRESERVED_SPECIMEN","Sentinel Glacier, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",49.8930444794088,-122.982676465135,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Leon E. Pavlick",NA,NA,NA,NA,NA
"103","Festuca saximontana var. saximontana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"saximontana","VARIETY","ca.ubc","UBCVascular","V120163",NA,"93B0C75D-ECB6-5842-97E7-E3AA1D8678C9","Vernon C. Brink","s.n.",NA,"1941-07-28",1941,7,28,"PRESERVED_SPECIMEN","Garibaldi Park, Black Tusk",NA,NA,"British Columbia","Canada","CA",49.9497107083849,-123.067680124609,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Leon E. Pavlick",NA,NA,NA,NA,NA
"104","Fragaria ananassa ssp. cuneifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cuneifolia","SUBSPECIES","ca.ubc","UBCVascular","V75867",NA,"30520739-D2D7-6144-9E61-625C3DBE5D92","Vladimir J. Krajina","119",NA,"1949-07-24",1949,7,24,"PRESERVED_SPECIMEN","Near Vancouver, Horseshoe Bay",NA,NA,"British Columbia","Canada","CA",49.3663750123484,-123.267671356383,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Aaron Liston",NA,NA,NA,NA,NA
"105","Galanthus nivalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","71560752",NA,"https://www.inaturalist.org/observations/71560752","sacharoland","",NA,"2021-03-19",2021,3,19,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.736099,-123.097253,65,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"grigorenko",NA,NA,NA,NA,NA
"106","Galeopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GENUS","iNaturalist","Observations","90441570",NA,"https://www.inaturalist.org/observations/90441570","Roslyn","",NA,"2021-08-08",2021,8,8,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.706586,-123.157075,30,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Alex Abair",NA,NA,NA,NA,NA
"107","Galeopsis bifida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","127421758",NA,"https://www.inaturalist.org/observations/127421758","ninalaflamme","",NA,"2022-07-22",2022,7,22,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.731171,-123.134148,10,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"ninalaflamme",NA,NA,NA,NA,NA
"108","Galium trifidum ssp. columbianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"columbianum","SUBSPECIES","ca.ubc","UBCVascular","V253030",NA,"37AEFDBF-171F-AD42-A8C3-110EBD203F8F","Frank Lomer","11245",NA,"2018-07-14",2018,7,14,"PRESERVED_SPECIMEN","Squamish River estuary, west side, 730 m west-northwest of river mouth at end of Spit Road, 20 m west of main river channel",NA,NA,"British Columbia","Canada","CA",49.6909439990696,-123.183667,7,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Frank Lomer",NA,NA,NA,NA,NA
"109","Gentiana septemfida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","E","E","20160590",NA,"http://data.rbge.org.uk/living/20160590","Edinburgh, Howick Expedition to British Columbia (EHBC)","1",NA,"2016-08-25",2016,8,25,"LIVING_SPECIMEN","Dakota Bog (between Dakota Ridge & Mt Elphinstone)",NA,NA,"British Columbia","Canada","CA",49.484211,-123.566944,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"110","Graphephorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GENUS","US","US","US 3500292",NA,"http://n2t.net/ark:/65665/3b3b33abc-9cba-4ef9-8020-f73d3eb79a17","P. M. Peterson, J. Saarela & S. F. Smith","18754",NA,"2004-07-29",2004,7,29,"PRESERVED_SPECIMEN","Just below Cypress Ski Resort in Cypress Provincial Park, N of Vancouver. Along roadside and edge of forest with",NA,NA,"British Columbia","Canada","CA",49.3937,-123.196,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"Poaceae Reorganization Project",NA,NA,NA,NA,NA
"111","Hemerocallis fulva var. kwanso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kwanso","VARIETY","iNaturalist","Observations","88590423",NA,"https://www.inaturalist.org/observations/88590423","Roslyn","",NA,"2021-07-25",2021,7,25,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.715389,-123.161269,10,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"annieliveoak",NA,NA,NA,NA,NA
"112","Heracleum sphondylium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V161004",NA,"CF7D082C-764E-6D40-8D81-62C4350E01E7","Vladimir J. Krajina","s.n.",NA,"1965-07-21",1965,7,21,"PRESERVED_SPECIMEN","Garibaldi Park, Warren glacier foreland",NA,NA,"British Columbia","Canada","CA",49.866667,-123,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"V. Bednar, B. Fraser",NA,NA,NA,NA,NA
"113","Hieracium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GENUS","ca.ubc","UBCVascular","V240313",NA,"B73624AF-3E78-8647-952C-FDDD4BAC0496","Frank Lomer","7929",NA,"2012-06-04",2012,6,4,"PRESERVED_SPECIMEN","District of North Vancouver, Capilano River, 40 m south of Highway 1 bridge",NA,NA,"British Columbia","Canada","CA",49.331944,-123.284722,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Frank Lomer",NA,NA,NA,NA,NA
"114","Hieracium lachenalii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","122409256",NA,"https://www.inaturalist.org/observations/122409256","Lyrae","",NA,"2022-06-10",2022,6,10,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.691048,-123.147166,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"ggtuebingen",NA,NA,NA,NA,NA
"115","Hippuris vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","USCH","MAIN","",NA,"5ec08172-ff6d-11e2-9beb-001c23ce290f","Straley, Gerald","7271",NA,"1992-07-04",1992,7,4,"PRESERVED_SPECIMEN","Hollyburn Mountain, BC",NA,NA,"British Columbia","Canada","CA",49.416667,-123.333333,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Straley, Gerald",NA,NA,NA,NA,NA
"116","Honckenya peploides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","22731785",NA,"https://www.inaturalist.org/observations/22731785","chilligan","",NA,"2019-04-19",2019,4,19,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.461309,-123.419463,12,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Randal",NA,NA,NA,NA,NA
"117","Humulus lupulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","13321481",NA,"https://www.inaturalist.org/observations/13321481","Brian Starzomski","",NA,"2018-06-08",2018,6,8,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.461537,-123.41873,65,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Brian Starzomski",NA,NA,NA,NA,NA
"118","Iris sibirica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","","","",NA,"q-10169610850","","",NA,"2020-05-17T21:",2020,5,17,"HUMAN_OBSERVATION","",NA,NA,"","Canada","CA",49.388868,-123.550748,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"119","Isoetales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GENUS","RBCM","V","V157461",NA,"RBCM:Botany:V157461","Adolf Ceska; Oldriska Ceska","2854",NA,"1979-08-10",1979,8,10,"PRESERVED_SPECIMEN","Alice Lake: Bay",NA,NA,"British Columbia","Canada","CA",49.783333,-123.116667,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"120","Juncus arcticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","130060780",NA,"https://www.inaturalist.org/observations/130060780","Nina Hewitt","",NA,"2022-08-06",2022,8,6,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.929868,-122.985735,50,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Nina Hewitt",NA,NA,NA,NA,NA
"121","Juncus bulbosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","92964737",NA,"https://www.inaturalist.org/observations/92964737","John D Reynolds","",NA,"2021-08-28",2021,8,28,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.403453,-123.210031,6,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Barbara L. Wilson",NA,NA,NA,NA,NA
"122","Juncus canadensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V251378",NA,"1CAAEDB5-C79D-8B4D-8170-CF26AD199C96","Frank Lomer","10292",NA,"2016-09-13",2016,9,13,"PRESERVED_SPECIMEN","District of West Vancouver, Cypress Bowl Provincial Park, Midway chairlift, at base",NA,NA,"British Columbia","Canada","CA",49.396528,-123.202083,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Frank Lomer",NA,NA,NA,NA,NA
"123","Juniperus communis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","88595590",NA,"https://www.inaturalist.org/observations/88595590","Else Mikkelsen","",NA,"2014-01-17",2014,1,17,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.393999,-123.463061,405,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Else Mikkelsen",NA,NA,NA,NA,NA
"124","Juniperus communis var. saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"montana","VARIETY","ca.ubc","UBCVascular","V5200",NA,"02EAA49F-4885-C642-A733-9A22445B6108","John Davidson","s.n.",NA,"1912-08-11",1912,8,11,"PRESERVED_SPECIMEN","Garibaldi Park, Panorama Ridge",NA,NA,"British Columbia","Canada","CA",49.9541669990711,-123.014167,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"John Davidson",NA,NA,NA,NA,NA
"125","Juniperus scopulorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","NY","NY","1104983",NA,"5eea1e25-9eb8-4ade-b62a-55eaf7dcb04f","P. Dicer","5[= R. P. Adams 11417]",NA,"2008-04-01",2008,4,1,"PRESERVED_SPECIMEN","SW corner of Bowen Island",NA,NA,"British Columbia","Canada","CA",49.336825,-123.426628,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"126","Kalmia microphylla var. microphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"microphylla","VARIETY","ca.ubc","UBCVascular","V16043",NA,"465CA479-7E59-764F-BFAE-6A9D8C7926F4","W. Taylor","s.n.",NA,"1914-08-01",1914,8,NA,"PRESERVED_SPECIMEN","Garibaldi",NA,NA,"British Columbia","Canada","CA",49.9663768867129,-123.151015762854,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Jamie D. Fenneman",NA,NA,NA,NA,NA
"127","Kerria japonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","116867214",NA,"https://www.inaturalist.org/observations/116867214","Matt M","",NA,"2022-05-13",2022,5,13,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.704994,-123.144693,16,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Matt M",NA,NA,NA,NA,NA
"128","Lappula diploloma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V6794",NA,"4CC29C41-B96C-BD48-964C-088815638D4C","W. Taylor","s.n.",NA,"1916-07-26",1916,7,26,"PRESERVED_SPECIMEN","Cheakamus",NA,NA,"British Columbia","Canada","CA",49.8330426721634,-123.151012501217,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Susan J. Rolfsmeier",NA,NA,NA,NA,NA
"129","Lepidium didymum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V146567",NA,"1634A972-4048-5C40-B5EE-3379D31220E0","M. Terry Taylor","s.n.",NA,"1975-06-24",1975,6,24,"PRESERVED_SPECIMEN","Squamish-Lillooet Regional District, Squamish",NA,NA,"British Columbia","Canada","CA",49.75,-123.133333,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"M. Terry Taylor",NA,NA,NA,NA,NA
"130","Lepidium virginicum ssp. menziesii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","CPNWH","","2509132",NA,"cba8ab47-b269-4b59-bdaa-9d1ae38af993","A. S. Harrison","V062431",NA,"1966-07-29",1966,7,29,"OCCURRENCE","",NA,NA,"British Columbia","Canada","CA",49.458333,-123.283333,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"131","Lepidium virginicum ssp. menziesii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","RBCM","V","V062431",NA,"RBCM:Botany:V062431","Anthony Harrison","80.2",NA,"1966-07-29",1966,7,29,"PRESERVED_SPECIMEN","",NA,NA,"British Columbia","Canada","CA",49.458333,-123.283333,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"Ching Chuang",NA,NA,NA,NA,NA
"132","Leucanthemum maximum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","59103555",NA,"https://www.inaturalist.org/observations/59103555","John D Reynolds","",NA,"2020-09-02",2020,9,2,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.397117,-123.204269,5,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"John D Reynolds",NA,NA,NA,NA,NA
"133","Liquidambar styraciflua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","47078628",NA,"https://www.inaturalist.org/observations/47078628","eschott","",NA,"2020-05-23",2020,5,23,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.734031,-123.139832,8,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"eschott",NA,NA,NA,NA,NA
"134","Lobularia maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","129598682",NA,"https://www.inaturalist.org/observations/129598682","savannahrouse","",NA,"2022-08-01",2022,8,1,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.69775,-123.155861,7,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"savannahrouse",NA,NA,NA,NA,NA
"135","Lonicera periclymenum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","130064133",NA,"https://www.inaturalist.org/observations/130064133","bee_wolfe","",NA,"2022-08-08",2022,8,8,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.785726,-123.039545,26486,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"bee_wolfe",NA,NA,NA,NA,NA
"136","Lupinus arcticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V97672",NA,"CCD69706-671C-1C4F-9E2B-5DD43E8A6A12","E.B. Peterson","s.n.",NA,"1961-08-19",1961,8,19,"PRESERVED_SPECIMEN","little diamond head, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",49.8258329990704,-123.0075,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"137","Lupinus latifolius var. latifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latifolius","SUBSPECIES","ca.ubc","UBCVascular","V24015",NA,"89B6B123-197F-AD4D-8BF1-22EBE1D3E8C0","John Davidson","s.n.",NA,"1912-08-15",1912,8,15,"PRESERVED_SPECIMEN","Garibaldi, Black Tusk Meadows",NA,NA,"British Columbia","Canada","CA",49.9497107083849,-123.067680124609,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"John W. Eastham",NA,NA,NA,NA,NA
"138","Luzula comosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","CHSC","VascularPlants","CHSC102887",NA,"cf5d6957-9a52-43f0-b3db-3ce62edc1b8d","Peter F. Zika","23849",NA,"2008-06-23",2008,6,23,"PRESERVED_SPECIMEN","Above Eagleridge Drive, near Exit 2 on Route 1.",NA,NA,"British Columbia","Canada","CA",49.36,-123.273333,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"139","Luzula glabrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","RBCM","V","V146553",NA,"RBCM:Botany:V146553","Ted Lea","T-79-38",NA,"1979-08-22",1979,8,22,"PRESERVED_SPECIMEN","Cheekye: ridge",NA,NA,"British Columbia","Canada","CA",49.8,-123.15,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"Ted Lea",NA,NA,NA,NA,NA
"140","Luzula parviflora ssp. fastigiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fastigiata","SUBSPECIES","ca.ubc","UBCVascular","V47639",NA,"9DD03910-BB66-144F-9A44-EED37AC736A9","John Davidson","s.n.",NA,"1913-08-07",1913,8,7,"PRESERVED_SPECIMEN","Coast, near Garibaldi Lake",NA,NA,"British Columbia","Canada","CA",49.936943999071,-123.025556,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Peter F. Zika",NA,NA,NA,NA,NA
"141","Luzula piperi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V55292",NA,"72A907EF-5B32-5443-B36C-7D24E9933450","Anonymous","s.n.",NA,"",NA,NA,NA,"PRESERVED_SPECIMEN","Garbaldi Lake",NA,NA,"British Columbia","Canada","CA",49.933332999071,-123.016667,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Peter F. Zika",NA,NA,NA,NA,NA
"142","Luzula wahlenbergii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V49230",NA,"5ED783AF-71E0-0049-A1BD-B704B306CE01","John Davidson","s.n.",NA,"1913-08-01",1913,8,NA,"PRESERVED_SPECIMEN","North end of Garibaldi Lake",NA,NA,"British Columbia","Canada","CA",49.936943999071,-123.025556,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"John Davidson",NA,NA,NA,NA,NA
"143","Lysimachia nummularia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","","","",NA,"q-10269565526","","",NA,"2020-10-17T19:",2020,10,17,"HUMAN_OBSERVATION","",NA,NA,"","Canada","CA",49.357743,-123.246581,32,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
