scientificName,variety,subspecies,genus,species,genus_species
Marsupella tubulosa,NA,NA,Marsupella,tubulosa,Marsupella tubulosa
Metzgeria consanguinea,NA,NA,Metzgeria,consanguinea,Metzgeria consanguinea
Paraleucobryum sauteri,NA,NA,Paraleucobryum,sauteri,Paraleucobryum sauteri
Plagiomnium affine,NA,NA,Plagiomnium,affine,Plagiomnium affine
Plagiothecium latebricola,NA,NA,Plagiothecium,latebricola,Plagiothecium latebricola
Pohlia tundrae,NA,NA,Pohlia,tundrae,Pohlia tundrae
Pseudisothecium myosuroides,NA,NA,Pseudisothecium,myosuroides,Pseudisothecium myosuroides
Racomitrium macounii,NA,NA,Racomitrium,macounii,Racomitrium macounii
Schistochilopsis opacifolia,NA,NA,Schistochilopsis,opacifolia,Schistochilopsis opacifolia
Sphagnum pulchrum,NA,NA,Sphagnum,pulchrum,Sphagnum pulchrum
Sphagnum recurvum,NA,NA,Sphagnum,recurvum,Sphagnum recurvum
Sphenolobus minutus,NA,NA,Sphenolobus,minutus,Sphenolobus minutus
Ulota reptans,NA,NA,Ulota,reptans,Ulota reptans
Epitheca sp.,NA,NA,Epitheca,NA,NA
Machimus sp.,NA,NA,Machimus,NA,NA
Bruchidius villosus,NA,NA,Bruchidius,villosus,Bruchidius villosus
Larinus carlinae,NA,NA,Larinus,carlinae,Larinus carlinae
Eupithecia miserulata,NA,NA,Eupithecia,miserulata,Eupithecia miserulata
Lucilia sericata,NA,NA,Lucilia,sericata,Lucilia sericata
Dioryctria sp.,NA,NA,Dioryctria,NA,NA
Argia sp.,NA,NA,Argia,NA,NA
Chrysops sp.,NA,NA,Chrysops,NA,NA
Eratigena duellica,NA,NA,Eratigena,duellica,Eratigena duellica
Xysticus sp.,NA,NA,Xysticus,NA,NA
Nomada sp.,NA,NA,Nomada,NA,NA
Athysanus argentarius,NA,NA,Athysanus,argentarius,Athysanus argentarius
Plateumaris sp.,NA,NA,Plateumaris,NA,NA
Celastrina ladon,NA,NA,Celastrina,ladon,Celastrina ladon
Chrysopa sp.,NA,NA,Chrysopa,NA,NA
Tetragnatha sp.,NA,NA,Tetragnatha,NA,NA
Pardosa sp.,NA,NA,Pardosa,NA,NA
Catocala sp.,NA,NA,Catocala,NA,NA
Macaria pinistrobata,NA,NA,Macaria,pinistrobata,Macaria pinistrobata
Alosterna rubida,NA,NA,NA,NA,NA
Chrysoperla carnea grp.,NA,NA,NA,NA,NA
Hellinsia stramineus,NA,NA,NA,NA,NA
Agabus sp.,NA,NA,Agabus,NA,NA
Agriphila sp.,NA,NA,Agriphila,NA,NA
Athous sp.,NA,NA,Athous,NA,NA
Corymbitodes sp.,NA,NA,Corymbitodes,NA,NA
Dalopius sp.,NA,NA,Dalopius,NA,NA
Dasypyga sp.,NA,NA,Dasypyga,NA,NA
Dichelonyx sp.,NA,NA,Dichelonyx,NA,NA
Dichelotarsus puberulus,NA,NA,Dichelotarsus,puberulus,Dichelotarsus puberulus
Dichelotarsus sp.,NA,NA,Dichelotarsus,NA,NA
Dryocoetes sp.,NA,NA,Dryocoetes,NA,NA
Dytiscus sp.,NA,NA,Dytiscus,NA,NA
Eumenes sp.,NA,NA,Eumenes,NA,NA
Evarcha sp.,NA,NA,Evarcha,NA,NA
Helops sp.,NA,NA,Helops,NA,NA
Hemicrepidius sp.,NA,NA,Hemicrepidius,NA,NA
Heterhelus pennatus,NA,NA,Heterhelus,pennatus,Heterhelus pennatus
Hyppa sp.,NA,NA,Hyppa,NA,NA
Lasioglossum sp.,NA,NA,Lasioglossum,NA,NA
Lasius sp.,NA,NA,Lasius,NA,NA
Megapenthes sp.,NA,NA,Megapenthes,NA,NA
Metellina sp.,NA,NA,Metellina,NA,NA
Nebria sp.,NA,NA,Nebria,NA,NA
Nitidolimonius sp.,NA,NA,Nitidolimonius,NA,NA
Pacificanthia sp.,NA,NA,Pacificanthia,NA,NA
Phlaeopterus occidentalis,NA,NA,Phlaeopterus,occidentalis,Phlaeopterus occidentalis
Phyllocnistis sp.,NA,NA,Phyllocnistis,NA,NA
Phyllophaga sp.,NA,NA,Phyllophaga,NA,NA
Platydema sp.,NA,NA,Platydema,NA,NA
Pycnopsyche sp.,NA,NA,Pycnopsyche,NA,NA
Pyrobombus sp.,NA,NA,Bombus,NA,NA
Serica sp.,NA,NA,Serica,NA,NA
Tomocerus sp.,NA,NA,Tomocerus,NA,NA
Trox sp.,NA,NA,Trox,NA,NA
Utacapnia sp.,NA,NA,Utacapnia,NA,NA
Villa sp.,NA,NA,Villa,NA,NA
Bembidion sp.,NA,NA,Bembidion,NA,NA
Eriocampa ovata,NA,NA,Eriocampa,ovata,Eriocampa ovata
Hadromyia grandis,NA,NA,Hadromyia,grandis,Hadromyia grandis
Eristalis hirta,NA,NA,Eristalis,hirta,Eristalis hirta
Herpetogramma pertextalis,NA,NA,Herpetogramma,pertextalis,Herpetogramma pertextalis
Parasyrphus sp.,NA,NA,Parasyrphus,NA,NA
Euschistus sp.,NA,NA,Euschistus,NA,NA
Poecilochirus sp.,NA,NA,Poecilochirus,NA,NA
Pollenia rudis,NA,NA,Pollenia,rudis,Pollenia rudis
Eristalis tenax,NA,NA,Eristalis,tenax,Eristalis tenax
Lapposyrphus lapponicus,NA,NA,Lapposyrphus,lapponicus,Lapposyrphus lapponicus
Dasysyrphus intrudens,NA,NA,Dasysyrphus,intrudens,Dasysyrphus intrudens
Sarcophaga sp.,NA,NA,Sarcophaga,NA,NA
Zygoptera sp.,NA,NA,NA,NA,NA
Eristalis arbustorum,NA,NA,Eristalis,arbustorum,Eristalis arbustorum
Forficula auricularia,NA,NA,Forficula,auricularia,Forficula auricularia
Exaireta spinigera,NA,NA,Exaireta,spinigera,Exaireta spinigera
Sphaerophoria sp.,NA,NA,Sphaerophoria,NA,NA
Scathophaga stercoraria,NA,NA,Scathophaga,stercoraria,Scathophaga stercoraria
Hadromyia crawfordi,NA,NA,Hadromyia,crawfordi,Hadromyia crawfordi
Cirolana harfordi,NA,NA,Cirolana,harfordi,Cirolana harfordi
Uroleucon sp.,NA,NA,Uroleucon,NA,NA
Eupeodes volucris,NA,NA,Eupeodes,volucris,Eupeodes volucris
Liriomyza sp.,NA,NA,Liriomyza,NA,NA
Ctenolepisma longicaudatum,NA,NA,Ctenolepisma,longicaudatum,Ctenolepisma longicaudatum
Lygus sp.,NA,NA,Lygus,NA,NA
Toxomerus marginatus,NA,NA,Toxomerus,marginatus,Toxomerus marginatus
Tipula oleracea,NA,NA,Tipula,oleracea,Tipula oleracea
Dialictus sp.,NA,NA,Lasioglossum,NA,NA
Pollenia angustigena,NA,NA,Pollenia,angustigena,Pollenia angustigena
Helophilus fasciatus,NA,NA,Helophilus,fasciatus,Helophilus fasciatus
Zootermopsis angusticollis,NA,NA,Zootermopsis,angusticollis,Zootermopsis angusticollis
Thyanta custator,NA,NA,Thyanta,custator,Thyanta custator
Pentidotea stenops,NA,NA,Pentidotea,stenops,Pentidotea stenops
Sepedon sp.,NA,NA,Sepedon,NA,NA
Drosophila suzukii,NA,NA,Drosophila,suzukii,Drosophila suzukii
Syritta pipiens,NA,NA,Syritta,pipiens,Syritta pipiens
Diastrophus kincaidii,NA,NA,Diastrophus,kincaidii,Diastrophus kincaidii
Nephrotoma sp.,NA,NA,Nephrotoma,NA,NA
Pollenia vagabunda,NA,NA,Pollenia,vagabunda,Pollenia vagabunda
Eupeodes fumipennis,NA,NA,Eupeodes,fumipennis,Eupeodes fumipennis
Toxomerus occidentalis,NA,NA,Toxomerus,occidentalis,Toxomerus occidentalis
Criorhina bubulcus,NA,NA,Criorhina,bubulcus,Criorhina bubulcus
Hadromyia pulchra,NA,NA,Hadromyia,pulchra,Hadromyia pulchra
Agromyza alnibetulae,NA,NA,Agromyza,alnibetulae,Agromyza alnibetulae
Agromyza idaeiana,NA,NA,Agromyza,idaeiana,Agromyza idaeiana
Aphidius sp.,NA,NA,Aphidius,NA,NA
Aphis sp.,NA,NA,Aphis,NA,NA
Basilia sp.,NA,NA,Basilia,NA,NA
Bolitocharina sp.,NA,NA,NA,NA,NA
Chironomus sp.,NA,NA,Chironomus,NA,NA
Chlorochroa sp.,NA,NA,Chlorochroa,NA,NA
Condylostylus occidentalis,NA,NA,Condylostylus,occidentalis,Condylostylus occidentalis
Crossocerus annulipes,NA,NA,Crossocerus,annulipes,Crossocerus annulipes
Dilophus sp.,NA,NA,Dilophus,NA,NA
Empoasca sp.,NA,NA,Empoasca,NA,NA
Gymnosoma sp.,NA,NA,Gymnosoma,NA,NA
Hypherpes sp.,NA,NA,Pterostichus,NA,NA
Kleidocerys sp.,NA,NA,Kleidocerys,NA,NA
Lenarchus sp.,NA,NA,Lenarchus,NA,NA
Limnoporus sp.,NA,NA,Limnoporus,NA,NA
Limonia sp.,NA,NA,Limonia,NA,NA
Melandrena sp.,NA,NA,Andrena,NA,NA
Mimesa sp.,NA,NA,Mimesa,NA,NA
Netelia sp.,NA,NA,Netelia,NA,NA
Nyctibora sp.,NA,NA,Nyctibora,NA,NA
Ophion sp.,NA,NA,Ophion,NA,NA
Platycheirus sp.,NA,NA,Platycheirus,NA,NA
Pleroneura californica,NA,NA,Pleroneura,californica,Pleroneura californica
Rhododactyla sp.,NA,NA,Rhododactyla,NA,NA
Rhopalum sp.,NA,NA,Rhopalum,NA,NA
Rhyacophila sp.,NA,NA,Rhyacophila,NA,NA
Rhyssa sp.,NA,NA,Rhyssa,NA,NA
Rocinela propodialis,NA,NA,Rocinela,propodialis,Rocinela propodialis
Tachina sp.,NA,NA,Tachina,NA,NA
Tachypeza sp.,NA,NA,Tachypeza,NA,NA
Tricyphona sp.,NA,NA,Tricyphona,NA,NA
Trombidium sp.,NA,NA,Trombidium,NA,NA
Xanthosarus sp.,NA,NA,Megachile,NA,NA
Xylophagus sp.,NA,NA,Xylophagus,NA,NA
Agrotina sp.,NA,NA,NA,NA,NA
Coenosiinae,NA,NA,NA,NA,NA
Blastobasis glandulella,NA,NA,Blastobasis,glandulella,Blastobasis glandulella
Eriophyes laevis,NA,NA,Eriophyes,laevis,Eriophyes laevis
Aphrophora alni,NA,NA,Aphrophora,alni,Aphrophora alni
Meliscaeva cinctella,NA,NA,Meliscaeva,cinctella,Meliscaeva cinctella
Epistrophe grossulariae,NA,NA,Epistrophe,grossulariae,Epistrophe grossulariae
Megasyrphus laxus,NA,NA,Megasyrphus,laxus,Megasyrphus laxus
Syrphus opinator,NA,NA,Syrphus,opinator,Syrphus opinator
Aceria genistae,NA,NA,Aceria,genistae,Aceria genistae
Armadillidium vulgare,NA,NA,Armadillidium,vulgare,Armadillidium vulgare
Porcellio scaber,NA,NA,Porcellio,scaber,Porcellio scaber
Oniscus asellus,NA,NA,Oniscus,asellus,Oniscus asellus
Philoscia muscorum,NA,NA,Philoscia,muscorum,Philoscia muscorum
Maevia inclemens,NA,NA,Maevia,inclemens,Maevia inclemens
Scaeva pyrastri,NA,NA,Scaeva,pyrastri,Scaeva pyrastri
Phytomyza ilicis,NA,NA,Phytomyza,ilicis,Phytomyza ilicis
Graphopsocus cruciatus,NA,NA,Graphopsocus,cruciatus,Graphopsocus cruciatus
Holorusia hespera,NA,NA,Holorusia,hespera,Holorusia hespera
Spilomyia interrupta,NA,NA,Spilomyia,interrupta,Spilomyia interrupta
Orientus ishidae,NA,NA,Orientus,ishidae,Orientus ishidae
Acleris macdunnoughi,NA,NA,Acleris,macdunnoughi,Acleris macdunnoughi
Anisolabis maritima,NA,NA,Anisolabis,maritima,Anisolabis maritima
Rhagio tringarius,NA,NA,Rhagio,tringarius,Rhagio tringarius
Merodon equestris,NA,NA,Merodon,equestris,Merodon equestris
Sericomyia militaris,NA,NA,Sericomyia,militaris,Sericomyia militaris
Platycheirus hyperboreus,NA,NA,Platycheirus,hyperboreus,Platycheirus hyperboreus
Eriophyes sorbi,NA,NA,Eriophyes,sorbi,Eriophyes sorbi
Cynomya cadaverina,NA,NA,Cynomya,cadaverina,Cynomya cadaverina
Diplolepis polita,NA,NA,Diplolepis,polita,Diplolepis polita
Pterourus sp.,NA,NA,Papilio,NA,NA
Ligidium gracile,NA,NA,Ligidium,gracile,Ligidium gracile
Ligia occidentalis,NA,NA,Ligia,occidentalis,Ligia occidentalis
Euura californica,NA,NA,Euura,californica,Euura californica
Euura proxima,NA,NA,Euura,proxima,Euura proxima
Myathropa florea,NA,NA,Myathropa,florea,Myathropa florea
Sceliphron caementarium,NA,NA,Sceliphron,caementarium,Sceliphron caementarium
Blera humeralis,NA,NA,Blera,humeralis,Blera humeralis
Bibio vestitus,NA,NA,Bibio,vestitus,Bibio vestitus
Chaoborus crystallinus,NA,NA,Chaoborus,crystallinus,Chaoborus crystallinus
Chionea alexandriana,NA,NA,Chionea,alexandriana,Chionea alexandriana
Molophilus sp.,NA,NA,Molophilus,NA,NA
Odontocolon polymorphum,NA,NA,Odontocolon,polymorphum,Odontocolon polymorphum
Oedoparena glauca,NA,NA,Oedoparena,glauca,Oedoparena glauca
Ornithomya anchineuria,NA,NA,Ornithomya,anchineuria,Ornithomya anchineuria
Pedetontus submutans,NA,NA,Pedetontus,submutans,Pedetontus submutans
Peleteria sp.,NA,NA,Peleteria,NA,NA
Periscepsia polita,NA,NA,Periscepsia,polita,Periscepsia polita
Phasia aurulans,NA,NA,Phasia,aurulans,Phasia aurulans
Phytomyza agromyzina,NA,NA,Phytomyza,agromyzina,Phytomyza agromyzina
Phytomyza tiarellae,NA,NA,Phytomyza,tiarellae,Phytomyza tiarellae
Protochauliodes spenceri,NA,NA,Protochauliodes,spenceri,Protochauliodes spenceri
Pteroxanium kelloggi,NA,NA,Pteroxanium,kelloggi,Pteroxanium kelloggi
Sigara lineata,NA,NA,Sigara,lineata,Sigara lineata
Entomobrya intermedia,NA,NA,Entomobrya,intermedia,Entomobrya intermedia
Evodinus monticola,NA,NA,Evodinus,monticola,Evodinus monticola
Atimia confusa,NA,NA,Atimia,confusa,Atimia confusa
Argynnis hydaspe,NA,NA,Argynnis,hydaspe,Argynnis hydaspe
Coccinella californica johnsoni,NA,NA,Coccinella,californica,Coccinella californica
Lasioglossum versans,NA,NA,Lasioglossum,versans,Lasioglossum versans
Pseudopolydesmus serratus,NA,NA,Pseudopolydesmus,serratus,Pseudopolydesmus serratus
Probole amicaria,NA,NA,Probole,amicaria,Probole amicaria
Scytonotus sp.,NA,NA,Scytonotus,NA,NA
Tolype distincta,NA,NA,Tolype,distincta,Tolype distincta
Anthocharis sara,NA,NA,Anthocharis,sara,Anthocharis sara
Enallagma cyathigerum,NA,NA,Enallagma,cyathigerum,Enallagma cyathigerum
Prophysaon andersonii,NA,NA,NA,NA,NA
Bombus bifarius,NA,NA,Bombus,bifarius,Bombus bifarius
Bombus sylvicola,NA,NA,Bombus,sylvicola,Bombus sylvicola
Formica fusca,NA,NA,Formica,fusca,Formica fusca
Euphydryas chalcedona,NA,NA,Euphydryas,chalcedona,Euphydryas chalcedona
Castianeira sp.,NA,NA,Castianeira,NA,NA
Brachypalpus alopex,NA,NA,Brachypalpus,alopex,Brachypalpus alopex
Urocerus californicus,NA,NA,Urocerus,californicus,Urocerus californicus
Camponotus pennsylvanicus,NA,NA,Camponotus,pennsylvanicus,Camponotus pennsylvanicus
Philanthus gibbosus,NA,NA,Philanthus,gibbosus,Philanthus gibbosus
Lucilia illustris,NA,NA,Lucilia,illustris,Lucilia illustris
Pristiphora geniculata,NA,NA,Pristiphora,geniculata,Pristiphora geniculata
Cimbex americanus,NA,NA,Cimbex,americanus,Cimbex americanus
Calliphora vomitoria,NA,NA,Calliphora,vomitoria,Calliphora vomitoria
Eriophyes emarginatae,NA,NA,Eriophyes,emarginatae,Eriophyes emarginatae
Sericomyia chalcopyga,NA,NA,Sericomyia,chalcopyga,Sericomyia chalcopyga
Urocerus albicornis,NA,NA,Urocerus,albicornis,Urocerus albicornis
Catallagia,NA,NA,NA,NA,NA
Dysmicohermes disjunctus,NA,NA,Dysmicohermes,disjunctus,Dysmicohermes disjunctus
Edwardsiana commissuralis,NA,NA,Edwardsiana,commissuralis,Edwardsiana commissuralis
Elampus marginatus,NA,NA,Elampus,marginatus,Elampus marginatus
Eucalliphora latifrons,NA,NA,Eucalliphora,latifrons,Eucalliphora latifrons
Neomolgus littoralis,NA,NA,Neomolgus,littoralis,Neomolgus littoralis
Passaloecus cuspidatus,NA,NA,Passaloecus,cuspidatus,Passaloecus cuspidatus
Pemphredon inornata,NA,NA,Pemphredon,inornata,Pemphredon inornata
Trachypachus holmbergi,NA,NA,Trachypachus,holmbergi,Trachypachus holmbergi
Melanostoma mellinum,NA,NA,Melanostoma,mellinum,Melanostoma mellinum
Agriades glandon franklinii,NA,Agriades glandon franklinii,Agriades,glandon,Agriades glandon
Orchesella sp.,NA,NA,Orchesella,NA,NA
Heterarthrus vagans,NA,NA,Heterarthrus,vagans,Heterarthrus vagans
Heriades carinata,NA,NA,Heriades,carinata,Heriades carinata
Scaphinotus cavicollis,NA,NA,Scaphinotus,cavicollis,Scaphinotus cavicollis
Oegoconia quadripuncta,NA,NA,Oegoconia,quadripuncta,Oegoconia quadripuncta
Lachninae,NA,NA,NA,NA,NA
Camponotus maccooki,NA,NA,Camponotus,maccooki,Camponotus maccooki
Zootermopsis nevadensis,NA,NA,Zootermopsis,nevadensis,Zootermopsis nevadensis
Eulachnus rileyi,NA,NA,Eulachnus,rileyi,Eulachnus rileyi
Blera scitula,NA,NA,Blera,scitula,Blera scitula
Scaeva affinis,NA,NA,Scaeva,affinis,Scaeva affinis
Agabinae,NA,NA,NA,NA,NA
Aphaereta pallipes,NA,NA,Aphaereta,pallipes,Aphaereta pallipes
Dicyrtomina ornata,NA,NA,Dicyrtomina,ornata,Dicyrtomina ornata
Dicyrtomina saundersi,NA,NA,Dicyrtomina,saundersi,Dicyrtomina saundersi
Entomobrya katzi,NA,NA,Entomobrya,katzi,Entomobrya katzi
Erasmoneura margaritae,NA,NA,Erasmoneura,margaritae,Erasmoneura margaritae
Herpetogramma aquilonalis,NA,NA,Herpetogramma,aquilonalis,Herpetogramma aquilonalis
Holophryxus alaskensis,NA,NA,Holophryxus,alaskensis,Holophryxus alaskensis
Idiasta maritima,NA,NA,Idiasta,maritima,Idiasta maritima
Issus coleoptratus,NA,NA,Issus,coleoptratus,Issus coleoptratus
Laccobius carri,NA,NA,Laccobius,carri,Laccobius carri
Leptothorax calderoni,NA,NA,Leptothorax,calderoni,Leptothorax calderoni
Mimesa pauper,NA,NA,Mimesa,pauper,Mimesa pauper
Nebria vandykei,NA,NA,Nebria,vandykei,Nebria vandykei
Parascythopus intrusus,NA,NA,Parascythopus,intrusus,Parascythopus intrusus
Ptenothrix beta,NA,NA,Ptenothrix,beta,Ptenothrix beta
Ptenothrix delongi,NA,NA,Ptenothrix,delongi,Ptenothrix delongi
Microtus richardsonii,NA,NA,NA,NA,NA
Peromyscus maniculatus,NA,NA,Peromyscus,maniculatus,Peromyscus maniculatus
Cervus canadensis canadensis,NA,Cervus canadensis canadensis,Cervus,canadensis,Cervus canadensis
Mustela erminea,NA,NA,Mustela,erminea,Mustela erminea
Myotis keenii,NA,NA,Myotis,keenii,Myotis keenii
Sorex monticola,NA,NA,Sorex,monticolus,Sorex monticolus
Microtus drummondii,NA,NA,Microtus,drummondii,Microtus drummondii
Myocastor coypus,NA,NA,Myocastor,coypus,Myocastor coypus
Sciurus griseus,NA,NA,Sciurus,griseus,Sciurus griseus
Arion ater,NA,NA,Arion,ater,Arion ater
Arion ater rufus,NA,rufus,Arion,ater,Arion ater
Cepaea hortensis,NA,NA,Cepaea,hortensis,Cepaea hortensis
Helicina sp.,NA,NA,Helicina,NA,NA
Helisoma sp.,NA,NA,Helisoma,NA,NA
Margarites inflatulus,NA,NA,Margarites,inflatulus,Margarites inflatulus
Physella gyrina,NA,NA,Physella,gyrina,Physella gyrina
× Elyhordeum stebbinsianum,NA,NA,NA,NA,NA
Acer palmatum,NA,NA,Acer,palmatum,Acer palmatum
Agoseris glauca,NA,NA,Agoseris,glauca,Agoseris glauca
Amelanchier alnifolia,NA,NA,Amelanchier,alnifolia,Amelanchier alnifolia
Antennaria howellii,NA,NA,Antennaria,howellii,Antennaria howellii
Anthoxanthum nitens,NA,NA,Anthoxanthum,nitens,Anthoxanthum nitens
Arabis sp.,NA,NA,Arabis,NA,NA
Arbutus unedo,NA,NA,Arbutus,unedo,Arbutus unedo
Arctostaphylos × media,NA,NA,Arctostaphylos,NA,NA
Aruncus sylvester,NA,NA,Aruncus,sylvester,Aruncus sylvester
Asplenium trichomanes,NA,NA,Asplenium,trichomanes,Asplenium trichomanes
Aucuba sp.,NA,NA,Aucuba,NA,NA
Berberis × hortensis,NA,NA,Berberis,NA,NA
Berberis darwinii,NA,NA,Berberis,darwinii,Berberis darwinii
Botrychium lunaria,NA,NA,NA,NA,NA
Botrychium sp.,NA,NA,Botrychium,NA,NA
Bromus diandrus,NA,NA,Bromus,diandrus,Bromus diandrus
Callicarpa sp.,NA,NA,Callicarpa,NA,NA
Calystegia sepium,NA,NA,Calystegia,sepium,Calystegia sepium
Camassia quamash,NA,NA,Camassia,quamash,Camassia quamash
Campanula alaskana,NA,NA,Campanula,alaskana,Campanula alaskana
Carex canescens,NA,NA,Carex,canescens,Carex canescens
Carex echinata,NA,NA,Carex,echinata,Carex echinata
Carex kelloggii,NA,NA,Carex,kelloggii,Carex kelloggii
Carex lenticularis,NA,NA,Carex,lenticularis,Carex lenticularis
Carex plectocarpa,NA,NA,Carex,plectocarpa,Carex plectocarpa
Carex pyrenaica,NA,NA,Carex,pyrenaica,Carex pyrenaica
Carex scirpoidea,NA,NA,Carex,scirpoidea,Carex scirpoidea
Cassiope tetragona,NA,NA,Cassiope,tetragona,Cassiope tetragona
Castanea sativa,NA,NA,Castanea,sativa,Castanea sativa
Castanea sp.,NA,NA,Castanea,NA,NA
Castilleja miniata,NA,NA,Castilleja,miniata,Castilleja miniata
Ceanothus velutinus,NA,NA,Ceanothus,velutinus,Ceanothus velutinus
Cerastium fontanum,NA,NA,Cerastium,fontanum,Cerastium fontanum
Circaea alpina,NA,NA,Circaea,alpina,Circaea alpina
Claytonia rubra,NA,NA,Claytonia,rubra,Claytonia rubra
Consolida sp.,NA,NA,Delphinium,NA,NA
Convallaria majalis,NA,NA,Convallaria,majalis,Convallaria majalis
Corallorhiza maculata,NA,NA,Corallorhiza,maculata,Corallorhiza maculata
Corylus cornuta,NA,NA,Corylus,cornuta,Corylus cornuta
Cotoneaster bullatus,NA,NA,Cotoneaster,bullatus,Cotoneaster bullatus
Cotoneaster integrifolius,NA,NA,Cotoneaster,integrifolius,Cotoneaster integrifolius
Crocosmia × crocosmiiflora,NA,NA,Crocosmia,NA,NA
Deschampsia cespitosa,NA,NA,Deschampsia,cespitosa,Deschampsia cespitosa
Dichanthelium oligosanthes,NA,NA,Dichanthelium,oligosanthes,Dichanthelium oligosanthes
Dichanthelium sp.,NA,NA,Dichanthelium,NA,NA
Diphasiastrum alpinum × sitchense,NA,NA,Diphasiastrum,NA,NA
Elymus glaucus,NA,NA,Elymus,glaucus,Elymus glaucus
Elymus trachycaulus,NA,NA,NA,NA,NA
Epilobium ciliatum,NA,NA,Epilobium,ciliatum,Epilobium ciliatum
Eriophorum chamissonis,NA,NA,Eriophorum,chamissonis,Eriophorum chamissonis
Euphorbia characias,NA,NA,Euphorbia,characias,Euphorbia characias
Euphrasia officinalis,NA,NA,Euphrasia,officinalis,Euphrasia officinalis
Fagus sylvatica,NA,NA,Fagus,sylvatica,Fagus sylvatica
Fargesia murielae,NA,NA,Fargesia,murielae,Fargesia murielae
Festuca microstachys var. pauciflora,pauciflora,NA,Festuca,microstachys,Festuca microstachys
Festuca rubra,NA,NA,Festuca,rubra,Festuca rubra
Forsythia × intermedia,NA,NA,Forsythia,NA,NA
Fragaria × ananassa ssp. cuneifolia,NA,ananassa,Fragaria,NA,NA
Fragaria chiloensis,NA,NA,Fragaria,chiloensis,Fragaria chiloensis
Gentiana septemfida,NA,NA,Gentiana,septemfida,Gentiana septemfida
Geranium macrorrhizum,NA,NA,Geranium,macrorrhizum,Geranium macrorrhizum
Geranium phaeum,NA,NA,Geranium,phaeum,Geranium phaeum
Geranium pratense,NA,NA,Geranium,pratense,Geranium pratense
Geranium rotundifolium,NA,NA,Geranium,rotundifolium,Geranium rotundifolium
Geum macrophyllum,NA,NA,Geum,macrophyllum,Geum macrophyllum
Grindelia hirsutula,NA,NA,Grindelia,hirsutula,Grindelia hirsutula
Grindelia integrifolia,NA,NA,Grindelia,integrifolia,Grindelia integrifolia
Hedera canariensis,NA,NA,Hedera,canariensis,Hedera canariensis
Hieracium atratum,NA,NA,Hieracium,atratum,Hieracium atratum
Huperzia haleakalae,NA,NA,Huperzia,haleakalae,Huperzia haleakalae
Jasminum nudiflorum,NA,NA,Jasminum,nudiflorum,Jasminum nudiflorum
Juncus effusus,NA,NA,Juncus,effusus,Juncus effusus
Juniperus communis,NA,NA,Juniperus,communis,Juniperus communis
Kerria japonica,NA,NA,Kerria,japonica,Kerria japonica
Lappula occidentalis,NA,NA,Lappula,occidentalis,Lappula occidentalis
Leucanthemum × superbum,NA,NA,NA,NA,NA
Limnanthes douglasii,NA,NA,Limnanthes,douglasii,Limnanthes douglasii
Liriodendron tulipifera,NA,NA,Liriodendron,tulipifera,Liriodendron tulipifera
Luzula glabrata,NA,NA,Luzula,glabrata,Luzula glabrata
Luzula wahlenbergii,NA,NA,Luzula,wahlenbergii,Luzula wahlenbergii
Lysimachia borealis,NA,NA,Lysimachia,borealis,Lysimachia borealis
Mentha arvensis,NA,NA,Mentha,arvensis,Mentha arvensis
Micranthes punctata,NA,NA,Micranthes,punctata,Micranthes punctata
Miscanthus sinensis,NA,NA,Miscanthus,sinensis,Miscanthus sinensis
Muscari botryoides,NA,NA,Muscari,botryoides,Muscari botryoides
Nemophila menziesii,NA,NA,Nemophila,menziesii,Nemophila menziesii
Nymphaea sp.,NA,NA,Nymphaea,NA,NA
Oreomecon nudicaulis,NA,NA,Oreomecon,nudicaulis,Oreomecon nudicaulis
Oxybasis rubra,NA,NA,Oxybasis,rubra,Oxybasis rubra
Panicum miliaceum,NA,NA,Panicum,miliaceum,Panicum miliaceum
Panicum sp.,NA,NA,Panicum,NA,NA
Pedicularis bracteosa,NA,NA,Pedicularis,bracteosa,Pedicularis bracteosa
Phalaris arundinacea,NA,NA,Phalaris,arundinacea,Phalaris arundinacea
Phyllodoce × intermedia,NA,NA,Phyllodoce,NA,NA
Phyllostachys aurea,NA,NA,Phyllostachys,aurea,Phyllostachys aurea
Pinus resinosa,NA,NA,Pinus,resinosa,Pinus resinosa
Plantago major,NA,NA,Plantago,major,Plantago major
Platanthera dilatata,NA,NA,Platanthera,dilatata,Platanthera dilatata
Platanthera hyperborea var. huronensis,huronensis,NA,Platanthera,hyperborea,Platanthera hyperborea
Poa glauca,NA,NA,Poa,glauca,Poa glauca
Podagrostis thurberiana,NA,NA,NA,NA,NA
Polypodium vulgare,NA,NA,Polypodium,vulgare,Polypodium vulgare
Polystichum braunii × munitum,NA,NA,Polystichum,NA,NA
Potentilla hyparctica,NA,NA,Potentilla,hyparctica,Potentilla hyparctica
Potentilla uniflora,NA,NA,Potentilla,uniflora,Potentilla uniflora
Pseudofumaria lutea,NA,NA,Pseudofumaria,lutea,Pseudofumaria lutea
Pseudosasa humilis,NA,NA,Pseudosasa,humilis,Pseudosasa humilis
Pulmonaria affinis,NA,NA,Pulmonaria,affinis,Pulmonaria affinis
Pulmonaria officinalis,NA,NA,Pulmonaria,officinalis,Pulmonaria officinalis
Pyracantha crenulata,NA,NA,Pyracantha,crenulata,Pyracantha crenulata
Quercus rubra,NA,NA,Quercus,rubra,Quercus rubra
