"Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code","Taxon.rank","Original.Taxon","manual_rule","manual_note","synonym_target","synonym_parse_failed","baseline_First_Observed","genus_in_baseline","family_in_baseline","resolution_level","novelty_flag","date_flag","review_group","Curator.Decision","Curator.Notes","auto_exclusion_note"
"Selasphorus rufus","(Gmelin, 1788)","","rufous hummingbird","Animalia","Chordata","Vertebrata","","Aves","","","Caprimulgiformes","","","Trochilidae","","","Selasphorus","rufus","","","","native","S4S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2003-07-30","Shera Street","iNat:2635133","","6363","BIR","","","","","","","","","","","","","","","",""
"Setophaga aestiva","(Gmelin, JF 1789)","","northern yellow warbler","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Parulidae","","","Setophaga","aestiva","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2023-05-28","Zeke Gilmore","iNat:165237907","reported as Setophaga petechia","1188207","BIR","","","","","","","","","","","","","","","",""
"Setophaga coronata auduboni","(Linnaeus, 1766)","(Townsend, 1837)","Audubon's warbler","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Parulidae","","","Setophaga","coronata","","auduboni","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-03-26","Sarah Tweedale","iNat:2928685","","126562","BIR","","","","","","","","","","","","","","","",""
"Setophaga coronata coronata","(Linnaeus, 1766)","(Linnaeus, 1766)","myrtle warbler","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Parulidae","","","Setophaga","coronata","","coronata","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2011-05-01","Michael Hoebel","iNat:19562466","","132704","BIR","","","","","","","","","","","","","","","",""
"Setophaga nigrescens","(Townsend, 1837)","","black-throated gray warbler","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Parulidae","","","Setophaga","nigrescens","","","","native","S4S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2014-05-10","Michael Hoebel","iNat:4046971","","145254","BIR","","","","","","","","","","","","","","","",""
"Setophaga townsendi","(Townsend, 1837)","","Townsend's warbler","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Parulidae","","","Setophaga","townsendi","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2014-04-21","Michael Hoebel","iNat:19548141","","145255","BIR","","","","","","","","","","","","","","","",""
"Sialia currucoides","(Bechstein, 1798)","","mountain bluebird","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Turdidae","","","Sialia","currucoides","","","","native","S4S5B (2015)","","new 2023","observed","","","","","","2023-04-26","Kevin Toomer","iNat:156826200","","12936","BIR","","","","","","","","","","","","","","","",""
"Sitta canadensis","Linnaeus, 1766","","red-breasted nuthatch","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Sittidae","","","Sitta","canadensis","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-02-23","Andrew Simon","iNat:2711391","","14823","BIR","","","","","","","","","","","","","","","",""
"Spatula clypeata","(Linnaeus, 1758)","","northern shoveler","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Spatula","clypeata","","","","native","S5B,S5N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2024-10-11","Tobin Sparling (he/him)","iNat:247072010","reported as Anas clypeata","558438","BIR","","","","","","","","","","","","","","","",""
"Sphyrapicus nuchalis","Baird, 1858","","red-naped sapsucker","Animalia","Chordata","Vertebrata","","Aves","","","Piciformes","","","Picidae","","","Sphyrapicus","nuchalis","","","","native","S5B (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Sphyrapicus ruber","(Gmelin, 1788)","","red-breasted sapsucker","Animalia","Chordata","Vertebrata","","Aves","","","Piciformes","","","Picidae","","","Sphyrapicus","ruber","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-06-19","Bridgit Spencer","iNat:2677221","","18464","BIR","","","","","","","","","","","","","","","",""
"Spinus pinus","(Wilson, 1810)","","pine siskin","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Fringillidae","","","Spinus","pinus","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2010-02-28","Michael Hoebel","iNat:18908805","","145304","BIR","","","","","","","","","","","","","","","",""
"Spinus tristis","(Linnaeus, 1758)","","American goldfinch","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Fringillidae","","","Spinus","tristis","","","","native","S4 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-07-23","Andrew Simon","iNat:3781422","","145310","BIR","","","","","","","","","","","","","","","",""
"Spizella passerina","(Bechstein, 1798)","","chipping sparrow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Passerellidae","","","Spizella","passerina","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-04-23","Lauren Magner","iNat:3040843","","9135","BIR","","","","","","","","","","","","","","","",""
"Stelgidopteryx serripennis","(Audubon, 1838)","","northern rough-winged swallow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Hirundinidae","","","Stelgidopteryx","serripennis","","","","native","S4S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2011-05-10","Michael Hoebel","iNat:4046993","","11970","BIR","","","","","","","","","","","","","","","",""
"Sterna hirundo","Linnaeus, 1758","","common tern","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Laridae","Sterninae","","Sterna","hirundo","","","","native","SUM (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Streptopelia decaocto","(Frivaldszky, 1838)","","Eurasian collared dove","Animalia","Chordata","Vertebrata","","Aves","","","Columbiformes","","","Columbidae","","","Streptopelia","decaocto","","","","exotic","unlisted","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2018-05-20","Sarah Tweedale","iNat:12652453","","2969","BIR","","","","","","","","","","","","","","","",""
"Strix varia","Barton, 1799","","barred owl","Animalia","Chordata","Vertebrata","","Aves","","","Strigiformes","","","Strigidae","","","Strix","varia","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2010-07-07","Karolle Wall","iNat:13132927","","19893","BIR","","","","","","","","","","","","","","","",""
"Sturnella neglecta","Audubon, 1844","","western meadowlark","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Icteridae","","","Sturnella","neglecta","","","","native","SXB (2010)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2022-11-06","lornasdr","iNat:141331288","","9535","BIR","","","","","","","","","","","","","","","",""
"Sturnus vulgaris","Linnaeus, 1758","","European starling","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Sturnidae","","","Sturnus","vulgaris","","","","exotic","unlisted","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2008-05-10","Michael Hoebel","iNat:19548204","","14850","BIR","","","","","","","","","","","","","","","",""
"Synthliboramphus antiquus","(Gmelin, 1789)","","ancient murrelet","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Alcidae","","","Synthliboramphus","antiquus","","","","native","S2S3B,S4N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2019-10-26","W. Cartwright","iNat:35634215","","4561","BIR","","","","","","","","","","","","","","","",""
"Tachycineta bicolor","(Vieillot, 1808)","","tree swallow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Hirundinidae","","","Tachycineta","bicolor","","","","native","S4S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-06-03","Adam Huggins","iNat:3386978","","11935","BIR","","","","","","","","","","","","","","","",""
"Tachycineta thalassina","(Swainson, 1827)","","violet-green swallow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Hirundinidae","","","Tachycineta","thalassina","","","","native","S4S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-07-26","Andrew Simon","iNat:3766312","","11931","BIR","","","","","","","","","","","","","","","",""
"Thryomanes bewickii","P.L. Sclater, 1862","","Bewick’s wren","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Troglodytidae","","","Thryomanes","bewickii","","","","native","S4 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-05-10","Michael Hoebel","iNat:19548265","","7576","BIR","","","","","","","","","","","","","","","",""
"Tringa flavipes","(Gmelin, 1789)","","lesser yellowlegs","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Scolopacidae","","","Tringa","flavipes","","","","native","S4S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-09-05","Sarah Tweedale","iNat:4041686","","3893","BIR","","","","","","","","","","","","","","","",""
"Tringa melanoleuca","(Gmelin, 1789)","","greater yellowlegs","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Scolopacidae","","","Tringa","melanoleuca","","","","native","S5B, SUN (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2025-09-10","Sophia Silverman","iNat:313112302","","3892","BIR","","","","","","","","","","","","","","","",""
"Troglodytes aedon","(Vieillot, 1809)","","house wren","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Troglodytidae","","","Troglodytes","aedon","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-04-23","Andrew Simon","iNat:3030504","","7562","BIR","","","","","","","","","","","","","","","",""
"Troglodytes pacificus","Baird, 1864","","Pacific wren","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Troglodytidae","","","Troglodytes","pacificus","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2010-10-21","Michael Hoebel","iNat:4046875","","144882","BIR","","","","","","","","","","","","","","","",""
"Turdus migratorius","Linnaeus, 1766","","American robin","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Turdidae","","","Turdus","migratorius","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-02-22","Andrew Simon","iNat:2566293","","12727","BIR","","","","","","","","","","","","","","","",""
"Tyrannus melancholicus","(Vieillot, 1819)","","tropical kingbird","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Tyrannidae","","","Tyrannus","melancholicus","","","","accidental","unlisted","","new 2019","unobserved","2019-11-20","Carl Estabrook","eBird","","","","","","accidental","","BIR","","","","","","","","","","","","","","","",""
"Tyto furcata pratincola","(Temminck, 1827)","(Bonaparte, CLJL 1838)","American barn owl","Animalia","Chordata","Vertebrata","","Aves","","","Strigiformes","","","Tytonidae","","","Tyto","furcata","","pratincola","","native","S2? (2015)","","new 2017","observed","","","","","","2017-02-25","Sarah Tweedale","iNat:5180293","reported as Tyto alba","1127392","BIR","","","","","","","","","","","","","","","",""
"Uria aalge","(Pontoppidan, 1763)","","common murre","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Alcidae","","","Uria","aalge","","","","native","S2B,S3S4N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-11-28","bobmcd’","iNat:2437278","","4519","BIR","","","","","","","","","","","","","","","",""
"Urile pelagicus","Pallas, 1811","","pelagic cormorant","Animalia","Chordata","Vertebrata","","Aves","","","Suliformes","","","Phalacrocoracidae","","","Urile","pelagicus","","","","native","S4 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-12-20","Andrew Simon","iNat:2562745","","1289605","BIR","","","","","","","","","","","","","","","",""
"Urile penicillatus","(Brandt, 1837)","","Brandt's cormorant","Animalia","Chordata","Vertebrata","","Aves","","","Suliformes","","","Phalacrocoracidae","","","Urile","penicillatus","","","","native","S1B,S4N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2012-05-03","Michael Hoebel","iNat:4046927","","1289607","BIR","","","","","","","","","","","","","","","",""
"Vireo cassinii","Xantus de Vesey, 1858","","Cassin's vireo","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Vireonidae","","","Vireo","cassinii","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-05-18","Michael Hoebel","iNat:4054050","","17382","BIR","","","","","","","","","","","","","","","",""
"Vireo huttoni","Cassin, 1851","","Hutton’s vireo","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Vireonidae","","","Vireo","huttoni","","","","native","S4 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2019-02-22","Andrew Simon","iNat:20571106","","17375","BIR","","","","","","","","","","","","","","","",""
"Vireo swainsoni","Baird, SF 1858","","Western warbling vireo","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Vireonidae","","","Vireo","swainsoni","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-07-02","Lauren Magner & Andrew Simon","iNat:2561814","reported as Vireo gilvus","17394","BIR","","","","","","","","","","","","","","","",""
"Xanthocephalus xanthocephalus","(Bonaparte, 1826)","","yellow-headed blackbird","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Icteridae","","","Xanthocephalus","xanthocephalus","","","","native","S4B (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Zenaida macroura","(Linnaeus, 1758)","","mourning dove","Animalia","Chordata","Vertebrata","","Aves","","","Columbiformes","","","Columbidae","","","Zenaida","macroura","","","","native","S4?B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2011-05-30","Michael Hoebel","iNat:4046898","","3454","BIR","","","","","","","","","","","","","","","",""
"Zonotrichia albicollis","(Gmelin, 1789)","","white-throated sparrow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Passerellidae","","","Zonotrichia","albicollis","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2019-10-13","Michael Hoebel","iNat:34332372","","9184","BIR","","","","","","","","","","","","","","","",""
"Zonotrichia atricapilla","(Gmelin, 1789)","","golden-crowned sparrow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Passerellidae","","","Zonotrichia","atricapilla","","","","native","S5?B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-06-27","Sarah Tweedale","iNat:4041637","","9185","BIR","","","","","","","","","","","","","","","",""
"Zonotrichia leucophrys","(Forster, 1772)","","white-crowned sparrow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Passerellidae","","","Zonotrichia","leucophrys","","","","native","S5 (2011)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-06-19","Peter Taylor","iNat:103172276","","9176","BIR","","","","","","","","","","","","","","","",""
"Zonotrichia querula","(Nuttall, 1840)","","Harris's sparrow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Passerellidae","","","Zonotrichia","querula","","","","native","SUM (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2019-12-27","Chad Diakow","iNat:37144595","listed as regularly occurring but “rare for this area” on the southern Vancouver Island checklist","","BIR","","","","","","","","","","","","","","","",""
"Cathartes aura aura","","","","Animalia","Chordata","","","Aves","","","Cathartiformes","","","Cathartidae","","","Cathartes","aura","","aura","","","","","","","","","","","","2023-04-26","Kevin Toomer","iNat:156800910","","524882","BIR","subspecies","Cathartes aura aura","SYNONYM","Syn. Cathartes aura aura","Cathartes aura aura","FALSE","","TRUE","TRUE","species_or_lower","novel_species_in_known_genus","new_taxon","deep_review","","",""
"Colaptes auratus cafer","","","","Animalia","Chordata","","","Aves","","","Piciformes","","","Picidae","Picinae","","Colaptes","auratus","","cafer","","","","","","","","","","","","2022-09-04","lifesabeach","iNat:133662535","","236980","BIR","subspecies","Colaptes auratus cafer","SYNONYM","Syn. Colaptes auratus cafer","Colaptes auratus cafer","FALSE","","TRUE","TRUE","species_or_lower","novel_species_in_known_genus","new_taxon","deep_review","","",""
"Hirundo rustica","","","","Animalia","Chordata","","","Aves","","","Passeriformes","","","Hirundinidae","","","Hirundo","rustica","","","","","","","","","","","","","","2016-08-08","Andrew Simon","iNat:3840481","","11901","BIR","species","Hirundo rustica","","","","FALSE","","TRUE","TRUE","species_or_lower","novel_species_in_known_genus","new_taxon","deep_review","","",""
"Larus glaucoides thayeri","","","","Animalia","Chordata","","","Aves","","","Charadriiformes","","","Laridae","Larinae","","Larus","glaucoides","","thayeri","","","","","","","","","","","","2017-09-30","Jon Pleizier","iNat:203237221","","4361","BIR","species","Larus glaucoides","SYNONYM","Syn. Larus glaucoides thayeri","Larus glaucoides thayeri","FALSE","2022-02-01","TRUE","TRUE","species_or_lower","novel_species_in_known_genus","earlier_than_baseline","deep_review","","",""
"Meleagris gallopavo","","","","Animalia","Chordata","","","Aves","","","Galliformes","","","Phasianidae","","","Meleagris","gallopavo","","","","","","","","","","","","","","2025-07-08","Erin Miller","iNat:296537340","","906","BIR","species","Meleagris gallopavo","","","","FALSE","","FALSE","TRUE","species_or_lower","novel_genus","new_taxon","deep_review","","",""
"Progne subis","","","","Animalia","Chordata","","","Aves","","","Passeriformes","","","Hirundinidae","","","Progne","subis","","","","","","","","","","","","","","2015-06-21","Peter Taylor","iNat:103195944","","11867","BIR","species","Progne subis","","","","FALSE","","TRUE","TRUE","species_or_lower","novel_species_in_known_genus","new_taxon","deep_review","","",""
"Sphyrapicus varius","","","","Animalia","Chordata","","","Aves","","","Piciformes","","","Picidae","Picinae","","Sphyrapicus","varius","","","","","","","","","","","","","","2024-06-24","Christian Adler","iNat:224949985","","18463","BIR","species","Sphyrapicus varius","","","","FALSE","","TRUE","TRUE","species_or_lower","novel_species_in_known_genus","new_taxon","deep_review","","",""
