"","Taxon","Taxon Author","Subtaxon Author","Common Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial Status","National Status","Reporting Status","Observation","Collected/Reported (y-m-d)","Collector/Source","Collection/List","Accession Number","GBIF ID","First Observed","Observer","iNaturalist Link","Notes","ID","Stats Code"
"223","Trentepohlia cf abietina","(Flotow ex Kützing) Hansgirg","","Trentepohlia algae","Plantae","Chlorophyta","","","Ulvophyceae","","","Trentepohliales","","","Trentepohliaceae","","","Trentepohlia","abietina","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-12-01","Andrew Simon & Mark Webber","https://www.inaturalist.org/observations/36297442","","410585","ALG"
"224","Trigonium arcticum","(Brightwell) Cleve","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Stellarimales","","","Trigoniaceae","","","Trigonium","arcticum","","","","unlisted","unlisted","","new 2013","observed","","","","","","2013-01-08","Mark Webber","https://www.inaturalist.org/observations/50128873","","841425","ALG"
"225","Ulva fenestrata","Postels & Ruprecht","","sea lettuce","Plantae","Chlorophyta","","","Ulvophyceae","","","Ulvales","","","Ulvaceae","","","Ulva","fenestrata","","","","unlisted","unlisted","","confirmed","observed","1977-11-27","Michael W. Hawkes","UBC","A57503","","2015-08-28","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/3735172","reported as Ulva lactuca L.","152972","ALG"
"226","Ulva intestinalis","L.","","gutweed","Plantae","Chlorophyta","","","Ulvophyceae","","","Ulvales","","","Ulvaceae","","","Ulva","intestinalis","","","","unlisted","unlisted","","confirmed","observed","1996-09-29","Andy Lamb & Donna Gibbs","PMLS","","","2016-06-05","Andrew Simon","http://www.inaturalist.org/observations/3404281","","130197","ALG"
"227","Urospora sp.","","","","Plantae","Chlorophyta","","","Ulvophyceae","","","Codiolales","","","Acrosiphoniaceae","","","Urospora","","","","","unlisted","unlisted","","new 2020","observed","","","","","","2020-04-24","Andrew Simon","https://www.inaturalist.org/observations/43253077","","339056","ALG"
"228","Vaucheria sp.","","","water felt","Chromista","Ochrophyta","","","Xanthophyceae","","","Vaucheriales","","","Vaucheriaceae","","","Vaucheria","","","","","unlisted","unlisted","","new 2022","observed","","","","","","2022-04-01","Andrew Simon","https://www.inaturalist.org/observations/110152164","","53662","ALG"
"229","Vertebrata woodii","(Harvey) Kuntze","","","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Ceramiales","","","Rhodomelaceae","","","Vertebrata","woodii","","","","unlisted","unlisted","","reported","unobserved","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027452","","","","","Barcoded; Need to update authorities from algaebase","","ALG"
"230","Volvox globator","L.","","green alga","Plantae","Chlorophyta","","","Chlorophyceae","","","Volvocales","","","Volvocaceae","","","Volvox","globator","","","","unlisted","unlisted","","new 2003","observed","","","","","","2003-07-25","Mark Webber","https://www.inaturalist.org/observations/4848832","","474779","ALG"
"231","Wildemania occidentalis","(Setchell & Hus)S.C.Lindstrom","","","Plantae","Rhodophyta","Eurhodophytina","","Bangiophyceae","","","Bangiales","","","Bangiaceae","","","Wildemania","occidentalis","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25859910","","895197","ALG"
"310","Ulva lactuca","","","Broadleaf Sea Lettuce","Plantae","Chlorophyta","","","Ulvophyceae","","","Ulvales","","","Ulvaceae","","","Ulva","lactuca","","","","","","","","","","","","","","2021-06-12","rileycam","https://www.inaturalist.org/observations/83605023","","67423","ALG"
